research_period,relative_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,relative_feature,context_feature
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,MIXED,ALIGNED,578,569,243,326,7,2,42.706502636203865,41.522491349480966,1.523333675751596,1.6411826058802064,1.0834348336986255,1.1685986917183482,109,134,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,MIXED,MIXED,173,162,73,89,6,5,45.06172839506173,49.71098265895954,1.6082762393506984,1.6083219488088853,1.07607771308956,1.2909801257007052,89,17,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,MIXED,OPPOSING,582,570,315,255,9,3,55.26315789473684,49.828178694158076,1.8372309606111632,1.4544113843320658,1.3945795730907906,1.047758560245946,109,137,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,RELATIVE_ALIGNED,ALIGNED,558,543,264,279,14,1,48.61878453038674,49.2831541218638,1.8145972860660755,1.7385520512333146,1.2188129573603712,1.2549245810004368,109,136,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,RELATIVE_ALIGNED,MIXED,149,146,73,73,3,0,50.0,45.63758389261745,1.5328541204488375,1.6708901616277252,1.0432057309155962,1.340123451171741,77,17,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,RELATIVE_ALIGNED,OPPOSING,674,661,324,337,4,9,49.016641452344935,47.47774480712166,1.6001078417543917,1.5029216765227071,1.1523313484058335,1.0051858795937043,111,136,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,RELATIVE_OPPOSING,ALIGNED,754,740,363,377,10,4,49.054054054054056,45.225464190981434,1.4459207923065875,1.3899609800972847,1.0240462603185616,1.001078398502447,111,139,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,RELATIVE_OPPOSING,MIXED,143,141,63,78,1,1,44.680851063829785,43.35664335664335,1.737175063262823,1.4892662985103067,1.2265978050355035,1.085823126225193,83,17,relative_multi_horizon_state,market_daily_regime_state
VALIDATION,RELATIVE_OPPOSING,OPPOSING,523,508,280,228,13,2,55.118110236220474,52.96367112810707,1.9455366757917059,1.6188665737688734,1.419365827348341,1.1940034493433056,105,135,relative_multi_horizon_state,market_daily_regime_state
