research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,RELATIVE_OPPOSING,981,958,484,474,7,16,50.521920668058456,46.58511722731906,1.366567636742667,1.2881167065998484,0.9495517479178782,0.9194302721088381,112,151,BEAR,directional_stock_vs_market_avg_5d_pct
DISCOVERY,UNKNOWN,85,85,51,34,0,0,60.0,62.35294117647059,1.1100691652303463,1.1081486965637677,0.8330600196785714,0.9782391694948989,64,6,BEAR,directional_stock_vs_market_avg_5d_pct
DISCOVERY,RELATIVE_ALIGNED,996,980,499,481,1,15,50.91836734693877,46.18473895582329,1.3122668310526744,1.2833627041777786,0.8857953892202742,0.914213646697795,111,151,BULL,directional_stock_vs_market_avg_5d_pct
DISCOVERY,RELATIVE_OPPOSING,998,970,514,456,2,26,52.98969072164948,47.294589178356716,1.22424451034574,1.1653538930626426,0.9080903274318317,0.7990699222326747,112,151,BULL,directional_stock_vs_market_avg_5d_pct
DISCOVERY,UNKNOWN,58,56,40,16,0,2,71.42857142857143,58.62068965517241,1.4071615972588365,0.9347596301101113,1.2087938245852592,0.45958900428979943,37,6,BULL,directional_stock_vs_market_avg_5d_pct
VALIDATION,RELATIVE_ALIGNED,996,976,495,481,10,10,50.717213114754095,47.791164658634536,1.6567568523489111,1.553748261244242,1.1579447034685975,1.130346031207352,112,155,BEAR,directional_stock_vs_market_avg_5d_pct
VALIDATION,RELATIVE_OPPOSING,1020,1001,499,502,14,5,49.85014985014985,48.03921568627451,1.6138476761224798,1.5537110005740469,1.1760682500912512,1.1092688715505783,111,157,BEAR,directional_stock_vs_market_avg_5d_pct
VALIDATION,RELATIVE_ALIGNED,1013,983,478,505,25,5,48.626653102746694,46.98914116485686,1.7839982877561715,1.5776011986472092,1.2257651017465159,1.1101138756567732,112,159,BULL,directional_stock_vs_market_avg_5d_pct
VALIDATION,RELATIVE_OPPOSING,1105,1080,526,554,18,7,48.7037037037037,46.78733031674208,1.6290602541044017,1.5227049162153985,1.1279572255181953,1.1285084964970389,112,158,BULL,directional_stock_vs_market_avg_5d_pct
DISCOVERY,FLAT,44,26,16,10,0,18,61.53846153846154,52.27272727272727,0.4026795033707554,0.4447470157956693,0.344633796748558,0.26255846844537367,1,44,ALL,directional_stock_vs_spy_10d_pct
DISCOVERY,RELATIVE_ALIGNED,1935,1903,909,994,8,24,47.766684182869156,44.39276485788114,1.262489835425318,1.3156093127246382,0.8883704235462984,0.9379995455505764,111,147,ALL,directional_stock_vs_spy_10d_pct
DISCOVERY,RELATIVE_OPPOSING,1916,1880,990,890,6,30,52.659574468085104,45.8768267223382,1.3553522756628942,1.2065466338572406,0.9706781501158143,0.8538414149426886,111,147,ALL,directional_stock_vs_spy_10d_pct
DISCOVERY,UNKNOWN,278,269,165,104,0,9,61.33828996282528,61.15107913669065,1.1634671853152914,1.114312214257593,0.8545087053503624,0.8245037293160631,101,11,ALL,directional_stock_vs_spy_10d_pct
VALIDATION,FLAT,65,52,22,30,0,13,42.30769230769231,52.30769230769231,0.5110524778931913,0.5259956156439557,0.43177200299431934,0.46506851324784476,1,65,ALL,directional_stock_vs_spy_10d_pct
VALIDATION,RELATIVE_ALIGNED,2020,1980,984,996,33,7,49.696969696969695,47.67326732673267,1.7196280211873967,1.5800343982072702,1.2195960411503828,1.1301514772089,111,159,ALL,directional_stock_vs_spy_10d_pct
