research_period,candidate_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,candidate_feature,context_feature
VALIDATION,MULTIPLE_C2_BREAKS,POSITIVE_CANDIDATE,37,35,16,19,2,0,45.714285714285715,48.648648648648646,1.7127452433085975,2.2434815757280657,0.9045146037269648,1.6522098306484767,28,30,multiple_c2_break_candidate,positive_candidate_state
VALIDATION,OTHER,OTHER,3150,3086,1495,1591,39,25,48.444588464031106,47.07936507936508,1.5994343900810184,1.5154366198075673,1.122821578694682,1.0776706528886066,112,159,multiple_c2_break_candidate,positive_candidate_state
VALIDATION,OTHER,POSITIVE_CANDIDATE,680,662,371,291,16,2,56.042296072507554,51.1764705882353,2.0888138905939324,1.6367151435397544,1.5887990416292244,1.2115177699857311,106,143,multiple_c2_break_candidate,positive_candidate_state
DISCOVERY,ALL3_CLEARED_MARKET_OPPOSING,BEAR,231,221,118,103,6,4,53.39366515837104,41.99134199134199,1.397105983252234,1.334536368961904,1.0572687224669646,0.9564054400941734,97,81,all3_market_opposing_candidate,direction
DISCOVERY,ALL3_CLEARED_MARKET_OPPOSING,BULL,145,143,86,57,2,0,60.13986013986014,49.6551724137931,1.4405971235954338,1.5945759938233377,1.0598561957232149,1.1363760411322368,77,36,all3_market_opposing_candidate,direction
DISCOVERY,OTHER,BEAR,1890,1851,909,942,5,34,49.10858995137763,45.925925925925924,1.2951184801895603,1.2608722944111626,0.9083446994264257,0.9100584754677943,112,158,all3_market_opposing_candidate,direction
DISCOVERY,OTHER,BULL,1907,1863,967,896,1,43,51.90552871712292,46.87991609858416,1.2593301388427829,1.1873387404717293,0.8897307846851403,0.8288253477589022,112,158,all3_market_opposing_candidate,direction
VALIDATION,ALL3_CLEARED_MARKET_OPPOSING,BEAR,224,220,122,98,4,0,55.45454545454545,50.44642857142857,2.007236774467883,1.6441483734450377,1.6381115172495981,1.1682818018507355,91,63,all3_market_opposing_candidate,direction
VALIDATION,ALL3_CLEARED_MARKET_OPPOSING,BULL,172,169,103,66,1,2,60.946745562130175,52.906976744186046,1.809227125416974,1.2617614651613773,1.358887835012371,0.8076253198113987,86,54,all3_market_opposing_candidate,direction
VALIDATION,OTHER,BEAR,1792,1757,872,885,20,15,49.63005122367672,47.60044642857143,1.5885231122230128,1.5424270385787413,1.131597719844537,1.1197637544772632,112,159,all3_market_opposing_candidate,direction
VALIDATION,OTHER,BULL,1946,1894,901,993,42,10,47.57127771911299,46.351490236382325,1.6937897125953987,1.574345310709086,1.1614604627634737,1.133960041887796,112,159,all3_market_opposing_candidate,direction
