symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
SNOW,1,1,1,0,0,0,100.0,100.0,0.9029834071637429,3.4129986543428483,0.9029834071637429,3.4129986543428483,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
SPY,1,1,1,0,0,0,100.0,0.0,0.5836427250920613,0.14056316939389146,0.5836427250920613,0.14056316939389146,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
T,1,1,0,1,0,0,0.0,0.0,0.08795219346194573,1.9670055977050238,0.08795219346194573,1.9670055977050238,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
TEAM,1,1,0,1,0,0,0.0,0.0,0.10725138533038098,3.3843770482035427,0.10725138533038098,3.3843770482035427,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
TMO,3,3,2,1,0,0,66.66666666666667,33.333333333333336,2.330334174702467,0.6686362220709396,3.1842919601450195,0.3260409666741338,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
TQQQ,1,1,0,1,0,0,0.0,100.0,2.904396934247676,1.015194298776401,2.904396934247676,1.015194298776401,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
TXN,3,3,2,1,0,0,66.66666666666667,66.66666666666667,1.6023650766744442,1.7014788163180736,0.5485384337784333,1.9469505593648435,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
UBER,2,2,0,2,0,0,0.0,0.0,1.5917037302885753,2.415489947136419,1.5917037302885753,2.415489947136419,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
UNH,6,6,3,3,0,0,50.0,50.0,0.7087883915354906,1.634514324008493,0.760342730272914,1.8065141060849481,1,6,pd_failed_break_candidate,PD_FAILED_BREAK
UPS,1,1,1,0,0,0,100.0,100.0,2.9242053789731,0.019559902200485105,2.9242053789731,0.019559902200485105,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
VRTX,3,3,1,2,0,0,33.333333333333336,33.333333333333336,0.3131056208336686,1.6878294206513134,0.40433650905967067,1.615605333129302,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
VZ,4,4,2,2,0,0,50.0,0.0,1.0305594713428912,0.5750161213914445,0.8666338582677144,0.5659448818897665,1,4,pd_failed_break_candidate,PD_FAILED_BREAK
WMT,1,1,0,1,0,0,0.0,0.0,0.06789575390400347,1.1803415678696354,0.06789575390400347,1.1803415678696354,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
