research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,FAVORABLE,1800,1757,863,894,33,10,49.117814456459875,845,46.94444444444444,1.7443795993545552,1.5452881333538466,1.2053290643685086,1.1145983275489273,112,159,BULL,price_vs_sma50_ok
VALIDATION,OPPOSING,318,306,141,165,10,2,46.07843137254902,148,46.540880503144656,1.4698697089439192,1.5697493918575913,1.014513300223102,1.147628883823835,106,124,BULL,price_vs_sma50_ok
DISCOVERY,FAVORABLE,3186,3115,1604,1511,12,59,51.492776886035315,1473,46.23352165725047,1.3232834574275048,1.25556590601224,0.9549192235857724,0.8901996259520902,112,158,ALL,ema9_vs_ema20_ok
DISCOVERY,OPPOSING,983,959,474,485,2,22,49.426485922836285,457,46.49033570701933,1.1817775735562226,1.2037852267133773,0.8073921234412899,0.8408986319708786,112,157,ALL,ema9_vs_ema20_ok
DISCOVERY,UNKNOWN,4,4,2,2,0,0,50.0,1,25.0,0.8165293035658738,0.8102951092556891,0.8176722160869947,0.48289918705929824,4,1,ALL,ema9_vs_ema20_ok
VALIDATION,FAVORABLE,3135,3067,1532,1535,45,23,49.95109227257907,1486,47.400318979266345,1.719484478800859,1.5478505053507734,1.2056119980648319,1.1285084964970389,112,159,ALL,ema9_vs_ema20_ok
VALIDATION,OPPOSING,999,973,466,507,22,4,47.89311408016444,473,47.347347347347345,1.5144869467728899,1.5620681693270835,1.0869565217391304,1.082727725236437,112,159,ALL,ema9_vs_ema20_ok
DISCOVERY,FAVORABLE,1627,1588,791,797,10,29,49.81108312342569,727,44.683466502765825,1.327838419187702,1.2829477764639972,0.9569027417534873,0.9204784639868611,112,158,BEAR,ema9_vs_ema20_ok
DISCOVERY,OPPOSING,493,483,236,247,1,9,48.86128364389234,238,48.275862068965516,1.2374972726703493,1.2209324567865036,0.8073921234412899,0.9057005860415579,110,149,BEAR,ema9_vs_ema20_ok
DISCOVERY,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.026146244661799847,2.0508041646274813,0.026146244661799847,2.0508041646274813,1,1,BEAR,ema9_vs_ema20_ok
DISCOVERY,FAVORABLE,1559,1527,813,714,2,30,53.24165029469548,746,47.85118665811417,1.3185298186950858,1.2269897012495656,0.9513716611671738,0.8663028649385961,112,158,BULL,ema9_vs_ema20_ok
DISCOVERY,OPPOSING,490,476,238,238,1,13,50.0,219,44.69387755102041,1.1257167334271112,1.1865330135989864,0.8071718216005785,0.7497925886317374,111,147,BULL,ema9_vs_ema20_ok
DISCOVERY,UNKNOWN,3,3,2,1,0,0,66.66666666666667,1,33.333333333333336,1.0799903232005652,0.3967920907984251,1.4438056786764348,0.2676087242726147,3,1,BULL,ema9_vs_ema20_ok
VALIDATION,FAVORABLE,1564,1531,766,765,20,13,50.03265839320706,738,47.186700767263424,1.6773495021569274,1.5862594113893058,1.1709679358155198,1.151337177596991,112,159,BEAR,ema9_vs_ema20_ok
VALIDATION,OPPOSING,452,446,228,218,4,2,51.12107623318386,228,50.442477876106196,1.4886721973694912,1.4411698437431826,1.159896649342779,0.99609038052123,108,144,BEAR,ema9_vs_ema20_ok
VALIDATION,FAVORABLE,1571,1536,766,770,25,10,49.869791666666664,748,47.61298535964354,1.7614317120733665,1.5096127402048378,1.2360891832569525,1.1035122982829073,112,159,BULL,ema9_vs_ema20_ok
VALIDATION,OPPOSING,547,527,238,289,18,2,45.16129032258065,245,44.78976234003656,1.5358183301921517,1.661969527944859,0.9764046241291393,1.1633910439541513,111,145,BULL,ema9_vs_ema20_ok
DISCOVERY,FAVORABLE,2941,2875,1498,1377,12,54,52.10434782608696,1386,47.12682760965658,1.3321104888524102,1.2561167892183935,0.959595959595966,0.8849929578945234,112,158,ALL,ema9_vs_sma50_ok
DISCOVERY,OPPOSING,1221,1192,578,614,2,27,48.48993288590604,541,44.30794430794431,1.1926381165397342,1.2142595159564653,0.8294266137756957,0.8826198135775034,112,158,ALL,ema9_vs_sma50_ok
