symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,c1_close,c2_close,c1_volume,c2_volume,opening_2m_volume,entry_price,opening_2m_rvol_20d,a49_opening_2m_dollar_activity,a49_log10_opening_2m_dollar_activity,a49_log10_entry_price
UNH,2026-01-22,BULL,AE2_RECLAIM,2,2026-01-22 14:31:00+00:00,349.535,350.27,123122.0,144101.0,267223.0,350.27,1.8195454932334667,93509705.53999999,7.970856689414912,2.5444029423636834
UNH,2026-01-26,BEAR,AE2_RECLAIM,2,2026-01-26 14:31:00+00:00,353.01,352.27,126116.0,45687.0,171803.0,352.27,1.0995849427336177,60614368.64999999,7.7825755859769385,2.5468756593912287
UNH,2026-02-05,BULL,AE2_RECLAIM,2,2026-02-05 14:31:00+00:00,274.33,274.63,220760.0,64072.0,284832.0,274.63,1.483519316657769,78157184.16,7.8929689042700435,2.4387479769022296
UNH,2026-02-09,BULL,AE2_RECLAIM,2,2026-02-09 14:31:00+00:00,274.67,274.5,148929.0,24541.0,173470.0,274.5,0.8018193121650323,47642832.93,7.6779975775228975,2.4385423487861106
UNH,2026-02-19,BEAR,AE2_RECLAIM,2,2026-02-19 14:31:00+00:00,289.12,288.435,133434.0,44406.0,177840.0,288.435,0.9069166160954241,51386682.69,7.710850582348936,2.4600479584905
UNH,2026-02-26,BULL,AE2_RECLAIM,2,2026-02-26 14:31:00+00:00,287.89,288.015,176476.295334,36691.301304,213167.596638,288.015,1.0590389531110271,61373405.80877682,7.787980224358019,2.4594151066744674
UNH,2026-03-10,BEAR,AE2_RECLAIM,2,2026-03-10 13:31:00+00:00,286.39,285.5238,85795.956943,37893.132101,123689.089044,285.5238,0.6915413677960416,35390495.180285275,7.548886639285182,2.455642314956182
UNH,2026-03-16,BEAR,AE2_RECLAIM,2,2026-03-16 13:31:00+00:00,283.475,283.565,106608.54243,22108.805874,128717.348304,283.565,0.7792030502996784,36490140.10300506,7.562175530830945,2.452652625506433
UNH,2026-03-18,BULL,AE2_RECLAIM,2,2026-03-18 13:31:00+00:00,286.29,286.85,72165.094159,27276.08774,99441.181899,286.85,0.67004970209132,28484290.574999113,7.454605407461299,2.4576548542184598
UNH,2026-03-20,BEAR,AE2_RECLAIM,2,2026-03-20 13:31:00+00:00,278.02,277.05,1161130.537507,47314.966762,1208445.504269,277.05,8.621480815015808,335926123.57910824,8.526243778432624,2.4425581544959227
UNH,2026-03-23,BULL,AE2_RECLAIM,2,2026-03-23 13:31:00+00:00,280.165,280.4201,119442.379788,41528.177979,160970.557767,280.4201,1.1484213153741512,45108910.154994,7.654262334537527,2.4478091398446495
UNH,2026-03-26,BULL,AE2_RECLAIM,2,2026-03-26 13:31:00+00:00,270.38,270.22,70842.418042,16630.261188,87472.67923000001,270.22,0.6513753132251536,23648202.16841732,7.373798129512971,2.4317174896460134
UNH,2026-03-31,BULL,AE2_RECLAIM,2,2026-03-31 13:31:00+00:00,263.31,263.5406,138717.238475,66385.652399,205102.89087399998,263.5406,1.5651876262415945,54020950.72747615,7.732562223169895,2.420847530355817
UNH,2026-04-01,BEAR,AE2_RECLAIM,2,2026-04-01 13:31:00+00:00,273.72,272.462,109126.165788,21909.759259,131035.925047,272.462,0.9757740070680738,35839590.92671702,7.5543630439788325,2.4353059402233015
UNH,2026-04-08,BULL,AE2_RECLAIM,2,2026-04-08 13:31:00+00:00,312.24,312.4184,231099.086798,63786.299377,294885.386175,312.4184,2.230604915047498,92086392.45509087,7.964195459531489,2.4947366038965093
UNH,2026-04-10,BULL,AE2_RECLAIM,2,2026-04-10 13:31:00+00:00,308.37,309.035,94037.903512,22334.024039,116371.927551,309.035,0.8335941329798285,35900463.424887806,7.555100054750256,2.4900076685707013
UNH,2026-04-23,BULL,AE2_RECLAIM,2,2026-04-23 13:31:00+00:00,355.315,355.8,163828.56383,41141.457595,204970.02142499998,355.8,1.5162907177744693,72848876.76955745,7.862422859928332,2.5512059437479064
UNH,2026-04-24,BULL,AE2_RECLAIM,2,2026-04-24 13:31:00+00:00,357.5,357.84,170381.606555,70749.817486,241131.42404100002,357.84,1.7837991014256336,86228539.03260274,7.93565102792536,2.5536888851646005
UNH,2026-05-06,BEAR,AE2_RECLAIM,2,2026-05-06 13:31:00+00:00,361.67,361.12,91646.802227,52891.119765,144537.921992,361.12,0.9768390526505368,52245940.13097589,7.718052548424849,2.5576515417336867
UNH,2026-05-07,BULL,AE2_RECLAIM,2,2026-05-07 13:31:00+00:00,367.01,367.33,88946.0814,8578.04479,97524.12619,367.33,0.6813089365021103,35795074.5273247,7.5538232709799225,2.5650563988119623
UNH,2026-05-18,BEAR,AE2_RECLAIM,2,2026-05-18 13:31:00+00:00,388.88,388.28,364682.472987,68187.774439,432870.247426,388.28,2.653870441572869,168293669.1543595,8.22606777905936,2.5891450209520843
UNH,2026-06-11,BEAR,AE2_RECLAIM,2,2026-06-11 13:31:00+00:00,407.12,405.325,92474.854716,15269.512481,107744.367197,405.325,0.7378397373380082,43837477.99833925,7.641845560920873,2.6078033913735843
UNH,2026-06-15,BEAR,AE2_RECLAIM,2,2026-06-15 13:31:00+00:00,405.48,402.72,2432.841351,113835.68381,116268.525161,402.72,0.8355413638555146,46830375.09496668,7.670527636343298,2.6050031982042876
UNH,2026-06-22,BULL,AE2_RECLAIM,2,2026-06-22 13:31:00+00:00,403.53,405.9101,93952.980247,28737.512471,122690.492718,405.9101,0.8758133756327336,49577692.67992677,7.695286311062439,2.608429857722053
UNH,2026-06-26,BULL,AE2_RECLAIM,2,2026-06-26 13:31:00+00:00,418.28,419.12,123645.713468,58764.201364,182409.914832,419.12,1.3021142854572245,76347781.10507472,7.8827964196789475,2.62233838543989
UNH,2026-06-29,BEAR,AE2_RECLAIM,2,2026-06-29 13:31:00+00:00,424.185,421.3,107927.255508,35981.450895,143908.706403,421.3,0.9572062629306647,60940108.139724486,7.784903220553605,2.6245914591268478
UNH,2026-06-30,BEAR,AE2_RECLAIM,2,2026-06-30 13:31:00+00:00,420.775,419.685,149607.669725,25733.796538,175341.466263,419.685,1.1662807195860572,73751255.62858741,7.867769418655961,2.622923447330043
UNH,2026-07-01,BEAR,AE2_RECLAIM,2,2026-07-01 13:31:00+00:00,417.085,415.56,73483.163336,36800.488854,110283.65219,415.56,0.7335497984362013,45941536.3281638,7.662205514317597,2.6186337375970856
UNH,2026-07-06,BEAR,AE2_RECLAIM,2,2026-07-06 13:31:00+00:00,422.71,422.825,86433.765434,8184.238691,94618.004125,422.825,0.6505874189349037,39996917.71112821,7.6020265245123,2.626160657540461
