name,kind,size_bytes,sha256,project,action,destination,reason,duplicate_of,applied,note
audit_a51_a39_original_bucket_semantics_v1.py,file,2448,23bebdfd3a8fb0239072bfbc0562101fb94d36d09dc7e05f340a408dc12849a1,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a51_a39_original_bucket_semantics_v1.py,Source move may break paths/imports; review first,,False,
audit_a51_a39_summary_reproducibility_v1.py,file,3405,1b6ec7fb067c19e9a247b6bb0b24d40790ee37272ad332960265ba9d65a3d908,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a51_a39_summary_reproducibility_v1.py,Source move may break paths/imports; review first,,False,
BUILD_6_1_0_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,file,36794,fbb50169d51bfaf62e6b862288b3d2a25f5ab2442d3585ca3b7021f352bd76e9,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\BUILD_6_1_0_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,Source move may break paths/imports; review first,,False,
BUILD_6_1_0A_MTF_PARITY_PROBE.pine,file,4683,cc40b65dc78ac980e3bb420e585cfe540f63ec1b9e53441a10da98166b2e0092,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\BUILD_6_1_0A_MTF_PARITY_PROBE.pine,Source move may break paths/imports; review first,,False,
BUILD_6_1_1_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,file,37709,654d06f712e10a36270cacef8eea311bec5f860749955b5a69e664896d0f42ab,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\BUILD_6_1_1_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,Source move may break paths/imports; review first,,False,
BUILD_6_1_2_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,file,37731,d7b1e3c857540818a9fc8d1a4f22bbbcb7001bbc7fb01b16f62a489dcf15b75c,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\BUILD_6_1_2_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,Source move may break paths/imports; review first,,False,
BUILD_6_1_3_MTF_STRUCTURAL_MARKET_CONTEXT.pine,file,40989,96796e81f63d69f80e7b72ce937c53836d0ea23286a8be98cc3accf99087483b,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\BUILD_6_1_3_MTF_STRUCTURAL_MARKET_CONTEXT.pine,Source move may break paths/imports; review first,,False,
build_9k_dp4_candidate_matrix_v1.py,file,5792,e6aadecdf6373e691fa841613008dbb484db0c9c9291afbe73021bc29a5bed4f,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\build_9k_dp4_candidate_matrix_v1.py,Source move may break paths/imports; review first,,False,
build_9m_oos_research_frames_v1.py,file,4773,1c0d8e9c02f22e53d322ffef6db1d044b4bbc8ad8782b0134bbf3a1d2c25c699,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\build_9m_oos_research_frames_v1.py,Source move may break paths/imports; review first,,False,
build_a41_market_open_impulse_features_v1.py,file,5965,904257f7ffa42e69ce2305b00aa41fbd0c6f47a939ff49b6482898130a061962,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a41_market_open_impulse_features_v1.py,Source move may break paths/imports; review first,,False,
build_a42_predeclared_opening_location_features_v1.py,file,4007,1f6aaaa1dfbb80bd50cc66b18415e57db4751db4a2cf1300c78e5f1419429696,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a42_predeclared_opening_location_features_v1.py,Source move may break paths/imports; review first,,False,
build_a43_predeclared_opening_relative_strength_features_v1.py,file,3019,f41dc1f8014f48cb6893260fca522d58e56b3ad907235020b3207f5da2888817,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a43_predeclared_opening_relative_strength_features_v1.py,Source move may break paths/imports; review first,,False,
build_a44_predeclared_prior_day_structure_features_v1.py,file,2490,111b35a68b397e0e55efa79bddabe10f2d42c60ea327ce5dd3c7157da3fd6156,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a44_predeclared_prior_day_structure_features_v1.py,Source move may break paths/imports; review first,,False,
build_a45_predeclared_overnight_transition_features_v1.py,file,3172,ef638aa6c5354bbdfc9b50f99b156df3f03daefdc8774bc7742c76dde50cb910,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a45_predeclared_overnight_transition_features_v1.py,Source move may break paths/imports; review first,,False,
build_a47_predeclared_entry_area_confluence_features_v1.py,file,2874,4f769ccbb8ef3685287e7304d01de52179ec4c6be95b159e7054e02beb0023d2,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a47_predeclared_entry_area_confluence_features_v1.py,Source move may break paths/imports; review first,,False,
build_a49_predeclared_opening_liquidity_features_v1.py,file,2693,7821261dc4bec22c7bbfbf41c2efd534ab0d0e24227532d71fcae882025664d2,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a49_predeclared_opening_liquidity_features_v1.py,Source move may break paths/imports; review first,,False,
build_a51_five_candidate_certified_matrix_and_independence_v1.py,file,6403,f1d34184c213a4f1b1dc4bf321b44f23cb4c0b5c913994f9bb96bfd438ce5a3d,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a51_five_candidate_certified_matrix_and_independence_v1.py,Source move may break paths/imports; review first,,False,
build_a51_retained_v2_evidence_matrix_v1.py,file,10821,93e0ecbc859e1a8ddd65d589cbcb3d6de876e88c89e83f0353056d37bceabbc8,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a51_retained_v2_evidence_matrix_v1.py,Source move may break paths/imports; review first,,False,
build_a51_retained_v2_evidence_matrix_v2.py,file,5148,1f31d0a2cc70a1f23844392e1164cb0f5c00a9bb5117140fad5ed3876786bbc0,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a51_retained_v2_evidence_matrix_v2.py,Source move may break paths/imports; review first,,False,
build_a51_retained_v2_evidence_matrix_v3.py,file,5022,57ddcfedf3f954e2d9b07d51a67d7a23f95af7cf0c5ca881ed1e51d31a12253a,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a51_retained_v2_evidence_matrix_v3.py,Source move may break paths/imports; review first,,False,
