source,destination,project,phase,role,sha256,dependency_count,dependencies,status,reason
build_a42_predeclared_opening_location_features_v1.py,scripts\second1m\a37_a56\build_a42_predeclared_opening_location_features_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,1f6aaaa1dfbb80bd50cc66b18415e57db4751db4a2cf1300c78e5f1419429696,0,,SAFE_WAVE1,
build_a43_predeclared_opening_relative_strength_features_v1.py,scripts\second1m\a37_a56\build_a43_predeclared_opening_relative_strength_features_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,f41dc1f8014f48cb6893260fca522d58e56b3ad907235020b3207f5da2888817,0,,SAFE_WAVE1,
build_a44_predeclared_prior_day_structure_features_v1.py,scripts\second1m\a37_a56\build_a44_predeclared_prior_day_structure_features_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,111b35a68b397e0e55efa79bddabe10f2d42c60ea327ce5dd3c7157da3fd6156,0,,SAFE_WAVE1,
build_a45_predeclared_overnight_transition_features_v1.py,scripts\second1m\a37_a56\build_a45_predeclared_overnight_transition_features_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,ef638aa6c5354bbdfc9b50f99b156df3f03daefdc8774bc7742c76dde50cb910,0,,SAFE_WAVE1,
build_a47_predeclared_entry_area_confluence_features_v1.py,scripts\second1m\a37_a56\build_a47_predeclared_entry_area_confluence_features_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,4f769ccbb8ef3685287e7304d01de52179ec4c6be95b159e7054e02beb0023d2,0,,SAFE_WAVE1,
build_a49_predeclared_opening_liquidity_features_v1.py,scripts\second1m\a37_a56\build_a49_predeclared_opening_liquidity_features_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,7821261dc4bec22c7bbfbf41c2efd534ab0d0e24227532d71fcae882025664d2,0,,SAFE_WAVE1,
build_a51_five_candidate_certified_matrix_and_independence_v1.py,scripts\second1m\a37_a56\build_a51_five_candidate_certified_matrix_and_independence_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,f1d34184c213a4f1b1dc4bf321b44f23cb4c0b5c913994f9bb96bfd438ce5a3d,0,,SAFE_WAVE1,
build_a51_retained_v2_evidence_matrix_v1.py,scripts\second1m\a37_a56\build_a51_retained_v2_evidence_matrix_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,93e0ecbc859e1a8ddd65d589cbcb3d6de876e88c89e83f0353056d37bceabbc8,0,,SAFE_WAVE1,
build_a51_retained_v2_evidence_matrix_v2.py,scripts\second1m\a37_a56\build_a51_retained_v2_evidence_matrix_v2.py,second1m,a37_a56,RESEARCH_OR_UTILITY,1f31d0a2cc70a1f23844392e1164cb0f5c00a9bb5117140fad5ed3876786bbc0,0,,SAFE_WAVE1,
build_a51_retained_v2_evidence_matrix_v3.py,scripts\second1m\a37_a56\build_a51_retained_v2_evidence_matrix_v3.py,second1m,a37_a56,RESEARCH_OR_UTILITY,57ddcfedf3f954e2d9b07d51a67d7a23f95af7cf0c5ca881ed1e51d31a12253a,0,,SAFE_WAVE1,
build_a51_retained_v2_evidence_matrix_v4.py,scripts\second1m\a37_a56\build_a51_retained_v2_evidence_matrix_v4.py,second1m,a37_a56,RESEARCH_OR_UTILITY,20e9aa6443736cc4bfeebc629094382c8ce199b8c7400bd8627777319e210909,0,,SAFE_WAVE1,
build_a52_predeclared_v2_architecture_v1.py,scripts\second1m\a37_a56\build_a52_predeclared_v2_architecture_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,1a35e54ec06e74824662fc3eb31b254ac4adec16e2db7f66da4deeaf5e1b658b,0,,SAFE_WAVE1,
build_a53_candidate_model_v2_prospective_protocol_v1.py,scripts\second1m\a37_a56\build_a53_candidate_model_v2_prospective_protocol_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,e4bf78d9456c675d2419d145b8084dac7d103ac2caf1cd3f16118b6f435c9cf4,0,,HOLD,provenance/canonical review
build_a56_1e_ae2_parity_test_set_v1.py,scripts\second1m\ae2\build_a56_1e_ae2_parity_test_set_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,ec6f7c1cc00a1268e24262d50bca7efa1d402c1e40a6b0de1c5b95bf34f2e06c,0,,SAFE_WAVE1,
certify_9m_2026_timestamp_coverage.py,scripts\pmpd\9m\certify_9m_2026_timestamp_coverage.py,pmpd,9m,AUDIT_DIAGNOSTIC,b52c8a658b267749f3bef129c3c1f5fcbd360b6574eef1d5ad1670585d84e484,0,,SAFE_WAVE1,
certify_9n_v4_engine_semantics_v2.py,scripts\pmpd\9n\certify_9n_v4_engine_semantics_v2.py,pmpd,9n,AUDIT_DIAGNOSTIC,2e4400db49040c59d3813329c9137bcfc78e9027b29623129bf4887db5f78ed9,3,PM_PD_Breakout_V4_8H7_Parity_Capture.pine | PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine | v4_parity_engine_v2.py,HOLD,root-source dependencies=3
certify_9n_v4_reconstruction_static_v1.py,scripts\pmpd\9n\certify_9n_v4_reconstruction_static_v1.py,pmpd,9n,AUDIT_DIAGNOSTIC,4651c6c0c845a7b3d211bebb7ff4f6c46f3d019f1ba75dd06719a6ee643b6f12,1,v4_parity_engine_v1.py,HOLD,root-source dependencies=1
certify_existing_v2.ps1,scripts\pmpd\legacy\certify_existing_v2.ps1,pmpd,legacy,AUDIT_DIAGNOSTIC,3bab2288647007f270bd470e62ba6f3de03c14625b5471da57281cfa87989e46,0,,SAFE_WAVE1,
certify_existing_v2.py,scripts\pmpd\legacy\certify_existing_v2.py,pmpd,legacy,AUDIT_DIAGNOSTIC,37dccf44aa6f31a0d5f9018d0db2c0f989d9cd84d35595715aab9359f4805628,0,,SAFE_WAVE1,
certify_existing_v2_v2.py,scripts\pmpd\legacy\certify_existing_v2_v2.py,pmpd,legacy,AUDIT_DIAGNOSTIC,7776ba8e664f261db15bbf099b47df8adf4f33587bb90d660b73f077382035e7,0,,SAFE_WAVE1,
certify_v2_full50.py,scripts\pmpd\legacy\certify_v2_full50.py,pmpd,legacy,AUDIT_DIAGNOSTIC,0e1c8de64c3d95c78584d252de49f232cf55d0ba823ca1cbc7e65a03024c7fee,1,patch_certify_v2_full50_parity.py,HOLD,root-source dependencies=1
certify_v2_outcome_independence.py,scripts\pmpd\legacy\certify_v2_outcome_independence.py,pmpd,legacy,AUDIT_DIAGNOSTIC,9b69f03249e2a44eb14090f7e02af9faae053dafc1353002c703585fba0f3624,3,derive_and_certify_dp4_structural_clearance.py | patch_outcome_independence_comment_filter.py | vwap_event_path_v2.py,HOLD,root-source dependencies=3
cleanup_tradingresearch_root.py,scripts\utilities\cleanup\cleanup_tradingresearch_root.py,utilities,cleanup,RESEARCH_OR_UTILITY,9acb400f62e817cd06eac5a306547e554bff69266325dbeecfae852d7184e656,0,,HOLD,keep cleanup tooling in root until cleanup complete
cleanup_tradingresearch_stage2.py,scripts\utilities\cleanup\cleanup_tradingresearch_stage2.py,utilities,cleanup,RESEARCH_OR_UTILITY,d80a4337cc4562582ab0a21d8c2a7b8825afd51375104c3d3263d78e02a19a1c,2,6_2.pine | cleanup_tradingresearch_stage2_fixed.py,HOLD,keep cleanup tooling in root until cleanup complete; root-source dependencies=2
cleanup_tradingresearch_stage2_fixed.py,scripts\utilities\cleanup\cleanup_tradingresearch_stage2_fixed.py,utilities,cleanup,PATCH_OR_FIX,4e2c3ef0b039e5b4098b9597747645aeee1fbde894234ca0d0182e2957d30c3d,2,6_2.pine | cleanup_tradingresearch_stage2.py,HOLD,keep cleanup tooling in root until cleanup complete; root-source dependencies=2
cleanup_tradingresearch_stage3_audit.py,scripts\utilities\cleanup\cleanup_tradingresearch_stage3_audit.py,utilities,cleanup,AUDIT_DIAGNOSTIC,407af47e4c429bfea52693a3233b08da8f91dbe410c6d0fefa2ec2db55788fb7,1,6_2.pine,HOLD,keep cleanup tooling in root until cleanup complete; root-source dependencies=1
cleanup_tradingresearch_stage3b_classify.py,scripts\utilities\cleanup\cleanup_tradingresearch_stage3b_classify.py,utilities,cleanup,RESEARCH_OR_UTILITY,2e62cc6da3583b2bcbbb0781ddff8e14279e4918b03ef3f8dd0fd9f5e1df54d1,1,6_2.pine,HOLD,keep cleanup tooling in root until cleanup complete; root-source dependencies=1
cleanup_tradingresearch_stage4_wave1.py,scripts\utilities\cleanup\cleanup_tradingresearch_stage4_wave1.py,utilities,cleanup,RESEARCH_OR_UTILITY,feab25ce6a17604dd40339c1ee1a474af0c7b2b519aaca278477881947bee9d7,10,6_2.pine | Test.py | patch_certify_v2_full50_parity.py | patch_outcome_independence_comment_filter.py | patch_outcome_join_ambiguous_same_bar.py | patch_outcome_join_prefer_canonical_label.py | patch_validation_robustness_block_repair_v3.py | patch_validation_robustness_corr_scope_v2.py | patch_validation_robustness_no_scipy.py | run_controlled_batch.py,HOLD,keep cleanup tooling in root until cleanup complete; root-source dependencies=10
derive_and_certify_dp4_structural_clearance.py,scripts\pmpd\legacy\derive_and_certify_dp4_structural_clearance.py,pmpd,legacy,AUDIT_DIAGNOSTIC,383a1f5fc98222685f9d271c6c5e34ed4da841a2346639a8743b38437d46da30,3,certify_v2_outcome_independence.py | patch_dp4_derivation_duplicate_decision_id.py | patch_dp4_derivation_timezone.py,HOLD,root-source dependencies=3
diagnose_9n_3h_vrtx_level_source.py,scripts\pmpd\9n\diagnose_9n_3h_vrtx_level_source.py,pmpd,9n,AUDIT_DIAGNOSTIC,5346ea13353279282278cbd4aa0e8bb769b2b5394f9d2b7d0a0efda2bce2c562,0,,SAFE_WAVE1,
diagnose_a37_cluster_span_parity_v1.py,scripts\second1m\a37_a56\diagnose_a37_cluster_span_parity_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,30ca9f274cc8fa9c1e246007529635ed7b9bb7f8247ff2e9ae286c5590db148d,0,,SAFE_WAVE1,
diagnose_v2_export_schema.py,scripts\pmpd\legacy\diagnose_v2_export_schema.py,pmpd,legacy,AUDIT_DIAGNOSTIC,53e92a4aaba16c84d3e82eb27c4bd4cf6ae5759983dd9207c13ebe50930fd81b,0,,SAFE_WAVE1,
diagnose_v2_runtime_vs_artifact.py,scripts\pmpd\legacy\diagnose_v2_runtime_vs_artifact.py,pmpd,legacy,AUDIT_DIAGNOSTIC,7669230023b3f97d9d87288145b33afac55246a80fca430f63489f51b9694d80,0,,SAFE_WAVE1,
diagnose_v2_runtime_vs_artifact_v2.py,scripts\pmpd\legacy\diagnose_v2_runtime_vs_artifact_v2.py,pmpd,legacy,AUDIT_DIAGNOSTIC,7dc806bbe59e78a81610799165c757545592b8a842e0ff81c8a60061f46a9396,0,,SAFE_WAVE1,
evaluate_a52_frozen_v2_architecture_outcomes_v1.py,scripts\second1m\a37_a56\evaluate_a52_frozen_v2_architecture_outcomes_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,cda5330b7e1534997017503579ff51741908a1cd9cb7102a79f8c102d0647bdd,0,,HOLD,provenance/canonical review
evaluate_a52_v2_robustness_v1.py,scripts\second1m\a37_a56\evaluate_a52_v2_robustness_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,72b706bfc3e0fff7bee73501391c78ee43333407ab96e65ad38be33027384c1b,0,,SAFE_WAVE1,
extract_9n_v4_source_semantics_utf8_v1.py,scripts\pmpd\9n\extract_9n_v4_source_semantics_utf8_v1.py,pmpd,9n,RESEARCH_OR_UTILITY,043744687280b29504942054da750b686bae885d46e34881c2de4122774ed393,4,PM + PD Breakout Monitor - V4 8H-7 Parity Capture.pine | PM + PD Breakout Monitor - V4 Forward Validation FINAL.pine | PM_PD_Breakout_V4_8H7_Parity_Capture.pine | PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,HOLD,root-source dependencies=4
extract_9n_v4_source_semantics_v1.py,scripts\pmpd\9n\extract_9n_v4_source_semantics_v1.py,pmpd,9n,RESEARCH_OR_UTILITY,77678be135de0a1c71b11d4b8b38e384a5d41db0f135a3d447816f66c656e11f,4,PM + PD Breakout Monitor - V4 8H-7 Parity Capture.pine | PM + PD Breakout Monitor - V4 Forward Validation FINAL.pine | PM_PD_Breakout_V4_8H7_Parity_Capture.pine | PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,HOLD,root-source dependencies=4
extract_a51_a39_original_predictor_bucketing_scope_v1.py,scripts\second1m\a37_a56\extract_a51_a39_original_predictor_bucketing_scope_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,497325b5701410e0c09babbea4433def99f3467f6a79590126793eab1c608572,1,research_second1m_ae2_c2_predictors_v1.py,HOLD,root-source dependencies=1
