feature,direction,bucket,n,c3_confirmed_n,c3_confirmation_pct,binary_n,favorable_first_pct,avg_feature_value,median_feature_value
c2_vwap_penetration_pct,BULL,"(0.0715, 0.123]",818,399,48.77750611246944,807,51.92069392812887,0.0954077328288227,0.09461409797656314
c2_vwap_penetration_pct,BULL,"(0.123, 0.218]",836,377,45.09569377990431,820,49.02439024390244,0.1643975001013614,0.1618131659316871
c2_vwap_penetration_pct,BULL,"(0.218, 2.989]",824,380,46.116504854368934,797,49.56085319949812,0.3939138267696919,0.31791239903868707
c1_to_c2_close_progress_pct,BEAR,"(-0.472, 0.0468]",863,402,46.581691772885286,827,48.24667472793229,-0.011644996177669502,0.007092198581553833
c1_to_c2_close_progress_pct,BEAR,"(0.0468, 0.136]",821,390,47.503045066991476,804,51.11940298507463,0.08966328639656308,0.08792210752547522
c1_to_c2_close_progress_pct,BEAR,"(0.136, 0.258]",813,360,44.28044280442804,805,49.81366459627329,0.19450297487227022,0.19226199477221126
c1_to_c2_close_progress_pct,BEAR,"(0.258, 0.484]",843,414,49.11032028469751,839,52.205005959475564,0.35968161801540816,0.35388340473085816
c1_to_c2_close_progress_pct,BEAR,"(0.484, 4.449]",797,365,45.796737766624844,774,48.06201550387597,0.8500313211245409,0.7263131272795045
c1_to_c2_close_progress_pct,BULL,"(-0.472, 0.0468]",799,377,47.18397997496871,771,48.63813229571984,-0.011185582147597262,0.006460783046911651
c1_to_c2_close_progress_pct,BULL,"(0.0468, 0.136]",840,393,46.785714285714285,817,52.26438188494492,0.08926252771271216,0.08893077184439493
c1_to_c2_close_progress_pct,BULL,"(0.136, 0.258]",848,408,48.113207547169814,837,51.732377538829155,0.19277743432002156,0.1908515721529424
c1_to_c2_close_progress_pct,BULL,"(0.258, 0.484]",818,378,46.210268948655255,809,52.16316440049444,0.3564441938817919,0.3522064293084961
c1_to_c2_close_progress_pct,BULL,"(0.484, 4.449]",865,403,46.589595375722546,835,47.90419161676647,0.8339333908993477,0.7172033817801935
c2_to_c1_volume_ratio,BEAR,"(0.00243, 0.159]",862,403,46.75174013921114,850,50.35294117647059,0.10053370452203564,0.10677841951668496
c2_to_c1_volume_ratio,BEAR,"(0.159, 0.25]",820,397,48.41463414634146,808,48.26732673267327,0.20394444586942675,0.20279089029510444
c2_to_c1_volume_ratio,BEAR,"(0.25, 0.361]",828,377,45.531400966183575,815,48.95705521472393,0.30310352573160837,0.30273100172067835
c2_to_c1_volume_ratio,BEAR,"(0.361, 0.545]",847,375,44.27390791027155,824,47.33009708737864,0.4406523152714136,0.43582297150094473
c2_to_c1_volume_ratio,BEAR,"(0.545, 929.418]",780,379,48.58974358974359,752,55.0531914893617,14.570903680927735,0.8034009697419606
c2_to_c1_volume_ratio,BULL,"(0.00243, 0.159]",800,373,46.625,786,52.162849872773535,0.10228966914819651,0.1056340957251046
c2_to_c1_volume_ratio,BULL,"(0.159, 0.25]",841,394,46.84898929845422,823,49.33171324422843,0.20399542509272406,0.20390915765458953
c2_to_c1_volume_ratio,BULL,"(0.25, 0.361]",833,376,45.13805522208884,816,48.161764705882355,0.30275533516403214,0.3028896541398413
c2_to_c1_volume_ratio,BULL,"(0.361, 0.545]",814,395,48.52579852579853,799,52.31539424280351,0.4396690561460594,0.4327645805208689
c2_to_c1_volume_ratio,BULL,"(0.545, 929.418]",882,421,47.73242630385487,845,50.887573964497044,16.009032942109805,0.7720073015274325
c1_range_pct,BEAR,"(0.00355, 0.333]",817,389,47.61321909424725,771,51.750972762645915,0.22448340253433519,0.23751593094659137
c1_range_pct,BEAR,"(0.333, 0.481]",827,372,44.98186215235792,820,49.390243902439025,0.40387802898257213,0.4008424485359083
c1_range_pct,BEAR,"(0.481, 0.656]",819,384,46.88644688644688,818,49.75550122249389,0.5642902724441565,0.5624591236101993
c1_range_pct,BEAR,"(0.656, 0.948]",862,401,46.519721577726216,859,49.94179278230501,0.7818427231683137,0.7734763391946373
c1_range_pct,BEAR,"(0.948, 4.389]",812,385,47.41379310344828,781,48.78361075544174,1.4169266276553514,1.25945144035319
c1_range_pct,BULL,"(0.00355, 0.333]",845,404,47.81065088757396,805,50.06211180124224,0.22495997978969073,0.2350345356868808
c1_range_pct,BULL,"(0.333, 0.481]",834,378,45.32374100719424,819,50.305250305250304,0.40633591310064016,0.40523196956353746
c1_range_pct,BULL,"(0.481, 0.656]",842,392,46.55581947743468,839,52.44338498212157,0.5630995872953608,0.5603696856045912
c1_range_pct,BULL,"(0.656, 0.948]",799,366,45.8072590738423,791,48.040455120101136,0.7847238893969228,0.7777777777777851
c1_range_pct,BULL,"(0.948, 4.389]",850,419,49.294117647058826,815,51.77914110429448,1.3911663130212795,1.2406693369305342
c2_range_pct,BEAR,"(0.00644, 0.279]",823,387,47.02308626974484,775,51.096774193548384,0.19238740189860293,0.20494008314991988
c2_range_pct,BEAR,"(0.279, 0.411]",815,379,46.50306748466258,808,50.24752475247525,0.34487771739837414,0.34518789416726176
c2_range_pct,BEAR,"(0.411, 0.558]",836,390,46.65071770334928,836,48.56459330143541,0.480594948801663,0.47838073894995436
c2_range_pct,BEAR,"(0.558, 0.823]",854,397,46.48711943793911,848,50.0,0.675997311752537,0.6711220462742018
c2_range_pct,BEAR,"(0.823, 4.915]",809,378,46.72435105067985,782,49.74424552429667,1.2441855214828865,1.1138154366569066
c2_range_pct,BULL,"(0.00644, 0.279]",839,408,48.62932061978546,794,51.63727959697733,0.19561222909804515,0.20863309352517412
c2_range_pct,BULL,"(0.279, 0.411]",846,384,45.39007092198582,840,51.19047619047619,0.34544667669271345,0.3464534835162591
c2_range_pct,BULL,"(0.411, 0.558]",825,384,46.54545454545455,819,50.91575091575091,0.4796762580095855,0.47817460317459687
c2_range_pct,BULL,"(0.558, 0.823]",807,383,47.459727385377946,799,51.43929912390488,0.6754664242344702,0.6666308262996662
c2_range_pct,BULL,"(0.823, 4.915]",853,400,46.893317702227435,817,47.61321909424725,1.2463109731249797,1.1024007839294534
clv_change_pp,BEAR,"(-85.54400000000001, -19.305]",821,420,51.15712545676005,803,51.432129514321296,-34.59916911392286,-31.542584871948492
clv_change_pp,BEAR,"(-19.305, -3.5]",850,411,48.35294117647059,836,51.196172248803826,-10.913141142576539,-10.569548282824393
