warning_feature,warning_state,context_feature,context_state,effect_type,total_n,symbol_n,top1_n,top1_share_pct,top5_n,top5_share_pct,top10_n,top10_share_pct
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,nearest_ahead_level,PM,ESCALATION_CONTEXT,544,111,16,2.9411764705882355,65,11.948529411764707,108,19.852941176470587
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,premarket_rvol_20d_discovery_state,HIGH,RESCUE_CONTEXT,291,101,7,2.4054982817869415,33,11.34020618556701,59,20.274914089347078
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,premarket_rvol_20d_discovery_state,MODERATE,ESCALATION_CONTEXT,959,112,30,3.1282586027111576,109,11.366006256517206,185,19.290928050052138
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,weekday,FRIDAY,ESCALATION_CONTEXT,265,97,8,3.018867924528302,35,13.20754716981132,61,23.0188679245283
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,weekday,MONDAY,RESCUE_CONTEXT,261,109,7,2.681992337164751,28,10.727969348659004,49,18.773946360153257
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,weekday,WEDNESDAY,ESCALATION_CONTEXT,300,106,8,2.6666666666666665,36,12.0,64,21.333333333333332
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,continuous_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,1321,112,30,2.2710068130204393,120,9.084027252081757,211,15.972747918243755
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,continuous_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,119,66,6,5.042016806722689,19,15.966386554621849,34,28.571428571428573
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,1064,112,19,1.7857142857142858,84,7.894736842105263,155,14.56766917293233
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,390,105,13,3.3333333333333335,53,13.58974358974359,86,22.05128205128205
