warning_feature,warning_state,context_feature,context_state,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_c4_state,C3_C4_ADVERSE,nearest_ahead_level,AH,ESCALATION_CONTEXT,VALIDATION_OLDER,162,160,24,136,1,1,15.0,1.0855082975784074,1.681820311549322,0.6045705320604993,1.3473339391445887,82,60
warning_c3_c4_state,C3_C4_ADVERSE,nearest_ahead_level,AH,ESCALATION_CONTEXT,VALIDATION_NEWER,154,152,19,133,1,1,12.5,1.193377940636463,1.9746613942231406,0.7599650377296393,1.42324066940203,85,72
warning_c3_c4_state,C3_C4_ADVERSE,nearest_ahead_level,PD,ESCALATION_CONTEXT,VALIDATION_OLDER,184,182,28,154,2,0,15.384615384615385,1.258224285841775,1.636621255348892,0.7870882987873188,1.338137799783544,88,71
warning_c3_c4_state,C3_C4_ADVERSE,nearest_ahead_level,PD,ESCALATION_CONTEXT,VALIDATION_NEWER,157,155,20,135,1,1,12.903225806451612,1.0410853023966145,2.0491755376949787,0.49928104679377705,1.5599431678996745,81,69
warning_c3_c4_state,C3_C4_ADVERSE,nearest_ahead_level,PM,RESCUE_CONTEXT,VALIDATION_OLDER,290,284,52,232,4,2,18.309859154929576,1.1762404281143395,1.865046235207293,0.7235260413432345,1.4448306778577575,105,72
warning_c3_c4_state,C3_C4_ADVERSE,nearest_ahead_level,PM,RESCUE_CONTEXT,VALIDATION_NEWER,294,284,50,234,6,4,17.6056338028169,1.4847702735728068,2.0690605002595914,0.8502164003983517,1.5506520450341834,104,75
warning_c3_c4_state,C3_C4_ADVERSE,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,VALIDATION_OLDER,169,165,29,136,4,0,17.575757575757574,1.351065006731694,2.038980829125894,0.7520828642197774,1.6034985422740442,82,63
warning_c3_c4_state,C3_C4_ADVERSE,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,VALIDATION_NEWER,112,108,13,95,4,0,12.037037037037036,1.3971627667287672,2.4123267733829885,0.7497805753634161,1.771795889089376,74,52
warning_c3_c4_state,C3_C4_ADVERSE,weekday,FRIDAY,ESCALATION_CONTEXT,VALIDATION_OLDER,168,164,25,139,3,1,15.24390243902439,1.0503154204282306,1.7925890332608292,0.7212488947019029,1.418534129653089,85,16
warning_c3_c4_state,C3_C4_ADVERSE,weekday,FRIDAY,ESCALATION_CONTEXT,VALIDATION_NEWER,121,121,14,107,0,0,11.570247933884298,1.510073800626011,2.0251613874516314,0.7660359944623889,1.5077424612876889,75,14
warning_c3_c4_state,C3_C4_ADVERSE,weekday,MONDAY,RESCUE_CONTEXT,VALIDATION_OLDER,150,147,26,121,3,0,17.687074829931973,1.2039074233446725,1.654763753198116,0.6187734984293973,1.4289944726073798,89,15
warning_c3_c4_state,C3_C4_ADVERSE,weekday,MONDAY,RESCUE_CONTEXT,VALIDATION_NEWER,137,134,18,116,2,1,13.432835820895523,1.169310204306141,2.236122977488713,0.7368421052631648,1.5119184402983594,74,15
