symbol,trend_5d_binary_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BAC,OPPOSING,30,30,12,18,0,0,40.0,12,40.0,0.6430741726554344,1.0966310191946895,0.5445733418636077,1.0960053131079306,1,30
BAC,UNKNOWN,1,1,0,1,0,0,0.0,1,100.0,0.4827031375703962,1.6434892541087147,0.4827031375703962,1.6434892541087147,1,1
BKNG,ALIGNED,26,26,15,11,0,0,57.69230769230769,6,23.076923076923077,1.8445900527868493,1.0277131628647826,1.4840605087355843,0.77871574011915,1,26
BKNG,OPPOSING,32,31,14,17,1,0,45.16129032258065,15,46.875,1.020708653314046,2.035320824575379,0.7207754004434667,1.5840000874712148,1,32
BLK,ALIGNED,23,23,10,13,0,0,43.47826086956522,12,52.17391304347826,1.3195301309164258,1.3068794857617605,0.6307448494453278,1.0851590396434656,1,23
BLK,OPPOSING,20,19,10,9,0,1,52.63157894736842,5,25.0,1.3920703417587474,0.905353571424244,1.052295687836013,0.6958927657107029,1,20
BMY,ALIGNED,36,35,19,16,1,0,54.285714285714285,12,33.333333333333336,1.0471094488733346,1.0786630572259266,0.7905617669457858,1.000105847281354,1,36
BMY,OPPOSING,43,42,18,24,0,1,42.857142857142854,20,46.51162790697674,1.0757483869058888,1.1536324885275138,0.8113590263691631,0.9291173385283834,1,43
C,ALIGNED,45,45,26,19,0,0,57.77777777777778,17,37.77777777777778,1.153660043854949,1.588176647648242,0.7524410691389702,1.214437367303615,1,45
C,OPPOSING,47,46,29,17,0,1,63.04347826086956,20,42.5531914893617,1.2793233009831149,1.1384676900984594,1.1575691048797492,0.923811500934192,1,47
C,UNKNOWN,1,1,0,1,0,0,0.0,1,100.0,0.3863359089060548,2.4129049749220566,0.3863359089060548,2.4129049749220566,1,1
CAT,ALIGNED,29,29,12,17,0,0,41.37931034482759,13,44.827586206896555,1.1204320425955872,1.6004976558702184,0.7516047777687588,1.5264534528417255,1,29
CAT,OPPOSING,28,27,15,12,0,1,55.55555555555556,17,60.714285714285715,1.393436079106981,1.4612885676205476,1.0089177259527908,0.9918069374382378,1,28
CAT,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.26615641365023057,1.6688726477527636,0.26615641365023057,1.6688726477527636,1,1
CEG,ALIGNED,40,40,17,23,0,0,42.5,16,40.0,1.6588185653972822,1.7291192820888432,1.3491060491087925,1.5591676128544665,1,40
CEG,OPPOSING,30,29,15,14,1,0,51.724137931034484,14,46.666666666666664,2.0034825303835944,1.8252086951300213,1.7154253520115756,1.2710970250744666,1,30
CEG,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,1.4534568496681994,3.201556704974471,1.4534568496681994,3.201556704974471,1,1
CMCSA,ALIGNED,34,34,19,15,0,0,55.88235294117647,14,41.1764705882353,1.2512133666409189,1.3154201126619474,0.880538501407285,0.6692762885863974,1,34
CMCSA,OPPOSING,30,29,12,17,0,1,41.37931034482759,10,33.333333333333336,0.8566069595571315,1.2012284392980497,0.7498602354924393,0.9353125360384149,1,30
CMCSA,UNKNOWN,1,1,1,0,0,0,100.0,0,0.0,0.6607929515418336,1.086637298091056,0.6607929515418336,1.086637298091056,1,1
CME,ALIGNED,34,34,15,19,0,0,44.11764705882353,17,50.0,0.9434815984969221,1.0582986778251005,0.523467338151707,0.8995428142556348,1,34
CME,OPPOSING,32,31,9,22,0,1,29.032258064516128,9,28.125,0.7352846439513367,1.2623043993934604,0.4697919312898843,0.948797903248499,1,32
CMG,ALIGNED,38,38,26,12,0,0,68.42105263157895,17,44.73684210526316,1.5443369713836343,0.9257631060527066,1.4823473393660505,0.8230735516774161,1,38
CMG,OPPOSING,32,31,16,15,1,0,51.61290322580645,17,53.125,2.123597322263265,1.1886933876227648,1.6240207082697262,0.9412602356090654,1,32
CMG,UNKNOWN,3,3,1,2,0,0,33.333333333333336,2,66.66666666666667,0.5406603510164146,1.1281149743732912,0.7232735559298421,0.9782391694948989,1,3
COIN,ALIGNED,54,51,22,29,3,0,43.13725490196079,23,42.592592592592595,2.0374994546824103,2.661107026329379,1.7254946873550672,2.10277346632573,1,54
COIN,OPPOSING,49,49,20,29,0,0,40.816326530612244,27,55.10204081632653,2.4944237022572797,2.887384628389598,1.8497351937381896,2.1054478463023205,1,49
COIN,UNKNOWN,2,2,1,1,0,0,50.0,1,50.0,2.1970289752404777,1.2782123741438112,2.1970289752404777,1.2782123741438112,1,2
COP,ALIGNED,34,34,15,19,0,0,44.11764705882353,14,41.1764705882353,0.9517829874387718,1.1043224734248742,0.8661901088869961,0.7188191739617988,1,34
COP,OPPOSING,29,29,19,10,0,0,65.51724137931035,17,58.62068965517241,1.3763671396677963,1.00294587266049,0.9819843637874468,0.8168700265252062,1,29
COP,UNKNOWN,1,1,0,1,0,0,0.0,1,100.0,0.3132387706855799,1.1938534278959871,0.3132387706855799,1.1938534278959871,1,1
COST,ALIGNED,33,33,16,17,0,0,48.484848484848484,15,45.45454545454545,0.7826837283428846,0.8133915966445724,0.6527537074127462,0.7565018939434669,1,33
