feature,quarter,state,share_of_quarter_binary_pct,total_n,binary_n,favorable_n,adverse_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
relative_multi_horizon_state,2026Q3,RELATIVE_OPPOSING,12.359550561797754,11,11,8,3,72.72727272727273,2.806065009702166,1.3189682599004373,3.0974576271186454,0.7627118644067845,10,7
session_level_clear_state,2025Q2,ALL_3_CLEARED,100.0,40,40,27,13,67.5,1.7408342506873034,1.1572996859064153,1.307080871631775,0.8553876146790973,34,15
session_level_clear_state,2025Q3,ALL_3_CLEARED,100.0,152,152,67,85,44.078947368421055,1.0861105765499428,1.4332238784244495,0.8238280026462019,1.1627175401783318,81,53
session_level_clear_state,2025Q4,ALL_3_CLEARED,100.0,137,137,85,52,62.043795620437955,1.470159118974908,1.5037669164190162,1.1029524716581078,0.9344733087547196,77,44
session_level_clear_state,2026Q1,ALL_3_CLEARED,100.0,175,175,107,68,61.142857142857146,2.078759270427269,1.2299633783416801,1.6078713702903809,0.9007287714605485,85,43
session_level_clear_state,2026Q2,ALL_3_CLEARED,100.0,160,160,90,70,56.25,1.8114285425397036,1.3612190784347409,1.5115779678010703,1.0039714208004642,76,47
session_level_clear_state,2026Q3,ALL_3_CLEARED,100.0,89,89,53,36,59.550561797752806,1.8903076618482666,2.104766216441653,1.3590679913347568,1.298408674834534,64,32
exhaustion_state,2025Q2,MULTIPLE,47.5,19,19,13,6,68.42105263157895,2.2889055071076543,1.2517480896027484,1.5525317867499395,1.04555970813313,16,8
exhaustion_state,2025Q2,NONE,37.5,15,15,10,5,66.66666666666667,1.1818740202243998,1.2057068608575539,1.04942722102059,0.6859303267620749,14,10
exhaustion_state,2025Q2,ONE,15.0,6,6,4,2,66.66666666666667,1.402675848180115,0.7371951368235149,1.1184321794310446,0.8456197366995286,6,5
exhaustion_state,2025Q3,MULTIPLE,44.73684210526316,68,68,29,39,42.64705882352941,1.202499657229694,1.6634058347832124,0.8877687539595747,1.478838545567882,49,33
exhaustion_state,2025Q3,NONE,38.81578947368421,59,59,26,33,44.067796610169495,0.971150477107858,1.0944971251292854,0.7586586036283647,0.8164710141836059,46,36
exhaustion_state,2025Q3,ONE,16.44736842105263,25,25,12,13,48.0,1.0408381117843404,1.6065240949052033,0.9007053716766139,1.167810242195662,21,20
exhaustion_state,2025Q4,MULTIPLE,33.57664233576642,46,46,22,24,47.82608695652174,1.9515364726675188,2.012165638834134,1.1780058491428087,1.329557714718054,34,30
