time,open,high,low,close,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_host_seconds,EXP_ltf_bars_in_host,DIAG_first_1m_time_seen,DIAG_last_1m_time_seen,DIAG_1m_bars_processed,DIAG_1m_intrabar_count,1M breakout found,Volume,Volume MA
1787671620,210.68,211.03,210.68,210.98,,,,,,,,,,1784554200000,1787671620000,10258,1,0,42242,27182.85
1787671680,210.99,211.22,210.96,211.18,,,,,,,,,,1784554200000,1787671680000,10259,1,0,26079,27545.75
1787671740,211.18,211.25,211.16,211.2,,,,,,,,,,1784554200000,1787671740000,10260,1,0,22941,27056.05
1787671800,211.2,211.32,211.19,211.24,,,,,,,,,,1784554200000,1787671800000,10261,1,0,22179,27148
1787671860,211.25,211.29,211.21,211.22,,,,,,,,,,1784554200000,1787671860000,10262,1,0,15703,27266.9
1787671920,211.22,211.23,211.14,211.15,,,,,,,,,,1784554200000,1787671920000,10263,1,0,15371,26071.55
1787671980,211.14,211.41,210.95,211.26,,,,,,,,,,1784554200000,1787671980000,10264,1,0,34276,26442.6
1787672040,211.26,211.28,211.04,211.05,,,,,,,,,,1784554200000,1787672040000,10265,1,0,21155,26148
1787672100,211.04,211.5,211.02,211.12,,,,,,,,,,1784554200000,1787672100000,10266,1,0,83494,28620.25
1787672160,211.11,211.21,211.075,211.205,,,,,,,,,,1784554200000,1787672160000,10267,1,0,15484,28540
1787672220,211.21,211.29,211.21,211.27,,,,,,,,,,1784554200000,1787672220000,10268,1,0,11175,26739.85
1787672280,211.28,211.29,211.17,211.22,,,,,,,,,,1784554200000,1787672280000,10269,1,0,12780,25734.05
1787672340,211.22,211.22,211.03,211.07,,,,,,,,,,1784554200000,1787672340000,10270,1,0,13326,25140.5
1787672400,211.07,211.2,211.07,211.15,,,,,,,,,,1784554200000,1787672400000,10271,1,0,15141,23592.15
1787672460,211.15,211.19,211.13,211.18,,,,,,,,,,1784554200000,1787672460000,10272,1,0,12724,22823.05
1787672520,211.18,211.31,211.15,211.235,,,,,,,,,,1784554200000,1787672520000,10273,1,0,25560,23229.9
1787672580,211.22,211.32,211.21,211.305,,,,,,,,,,1784554200000,1787672580000,10274,1,0,21876,23289.8
1787672640,211.31,211.34,211.28,211.31,,,,,,,,,,1784554200000,1787672640000,10275,1,0,15053,22861.95
1787672700,211.3,211.31,211.12,211.14,,,,,,,,,,1784554200000,1787672700000,10276,1,0,25746,23193.05
