research_period,premarket_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,premarket_feature,context_feature
VALIDATION,GAP_OPPOSING_PM_ALIGNED,CONSENSUS_OPPOSING,220,213,112,101,6,1,52.582159624413144,50.0,1.870502636984294,1.5892301259189454,1.2674067577007575,1.0560471323390537,93,94,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_OPPOSING_PM_ALIGNED,MIXED,36,35,20,15,1,0,57.142857142857146,61.111111111111114,1.3851122846523058,1.4045831414845142,0.9058767627942823,1.1657118303244345,31,10,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,MIXED_FLAT,CONSENSUS_ALIGNED,38,37,16,21,1,0,43.24324324324324,50.0,0.9992930727281873,1.1839640504437152,0.709412294288693,1.0590865913026413,27,30,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,MIXED_FLAT,CONSENSUS_OPPOSING,32,32,20,12,0,0,62.5,62.5,1.5159297026407301,0.9325174284220743,1.230940672527507,0.6964298318491742,27,27,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,MIXED_FLAT,MIXED,8,8,6,2,0,0,75.0,50.0,1.917313994078261,1.0480512144076806,1.8749344377909916,0.6368627278754668,8,4,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,UNKNOWN,CONSENSUS_ALIGNED,10,10,6,4,0,0,60.0,50.0,1.1733329807699904,1.452108870502675,0.9455135276890095,1.500972388045645,6,10,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,UNKNOWN,CONSENSUS_OPPOSING,9,9,3,6,0,0,33.333333333333336,33.333333333333336,1.5663250766952543,0.9288426104071122,1.749751260850181,0.7061582670773061,4,9,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,UNKNOWN,MIXED,2,2,0,2,0,0,0.0,0.0,0.013193981813937331,2.949533501182665,0.013193981813937331,2.949533501182665,2,2,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,OTHER,424,414,225,189,1,9,54.34782608695652,45.283018867924525,1.2722618970998067,1.112529053610218,0.9093465696849863,0.7355180353944719,105,142,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,POSITIVE_CANDIDATE,106,104,60,44,0,2,57.69230769230769,51.886792452830186,1.643076667656891,1.2579976482622823,1.1714602975271564,0.8109561634094802,69,60,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_AND_PM_ALIGNED,OTHER,1192,1172,618,554,2,18,52.73037542662116,46.39261744966443,1.3641530303298555,1.2818012884732812,0.9719667276326973,0.9466910394415758,111,155,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_AND_PM_ALIGNED,POSITIVE_CANDIDATE,287,281,132,149,6,0,46.97508896797153,41.11498257839721,1.4531692316664389,1.541834621600279,1.0323633919139565,0.9663041820208869,92,111,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_AND_PM_OPPOSING,OTHER,1008,974,478,496,2,32,49.07597535934291,48.11507936507937,1.2363988734363145,1.1879459304238047,0.8840741451130012,0.8284204003287756,110,157,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_AND_PM_OPPOSING,POSITIVE_CANDIDATE,291,288,155,133,0,3,53.81944444444444,53.608247422680414,1.349167964968855,1.237206126751287,0.9413491607632869,0.8344377882627432,96,112,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,OTHER,469,456,237,219,0,13,51.973684210526315,44.562899786780385,1.2492328916891786,1.1729404201035003,0.843756792538578,0.847322142286173,108,148,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,POSITIVE_CANDIDATE,126,122,60,62,1,3,49.18032786885246,50.0,1.1439160013668026,1.3923930903157067,0.7382901105677436,1.052606737896956,64,73,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,MIXED_FLAT,OTHER,139,138,61,77,1,0,44.20289855072464,36.69064748201439,0.9906863072731281,1.1836600830390993,0.696594427244581,0.8765339343851717,70,90,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,MIXED_FLAT,POSITIVE_CANDIDATE,23,22,10,12,1,0,45.45454545454545,43.47826086956522,1.0307445903219543,1.4617799445982311,0.8809717525615894,1.2138807162480794,18,21,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,UNKNOWN,OTHER,96,95,39,56,0,1,41.05263157894737,35.416666666666664,0.8488581125064206,1.210177385898253,0.5125372723241535,0.9740107093758699,50,57,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,UNKNOWN,POSITIVE_CANDIDATE,12,12,5,7,0,0,41.666666666666664,41.666666666666664,1.031244075623827,1.163958889228037,0.7039117572208775,0.8400367651832232,10,12,gap_premarket_structure_state,positive_candidate_state
VALIDATION,GAP_ALIGNED_PM_OPPOSING,OTHER,357,351,173,178,6,0,49.287749287749286,44.25770308123249,1.6563750583251526,1.531277666727175,1.0595261028703609,1.119642725482141,111,135,gap_premarket_structure_state,positive_candidate_state
VALIDATION,GAP_ALIGNED_PM_OPPOSING,POSITIVE_CANDIDATE,76,73,39,34,3,0,53.42465753424658,44.73684210526316,2.0462203212735046,1.66111108815822,1.420710759328435,1.1306226425952166,51,51,gap_premarket_structure_state,positive_candidate_state
VALIDATION,GAP_AND_PM_ALIGNED,OTHER,1390,1363,663,700,20,7,48.64269992663243,46.76258992805755,1.6514347235567892,1.5796244203955545,1.1830379410510705,1.1221336414252578,112,159,gap_premarket_structure_state,positive_candidate_state
VALIDATION,GAP_AND_PM_ALIGNED,POSITIVE_CANDIDATE,268,257,144,113,10,1,56.03112840466926,50.74626865671642,2.0592818890410474,1.5119699870114482,1.5465712791263995,1.2115177699857311,90,91,gap_premarket_structure_state,positive_candidate_state
