symbol,trade_date,direction,research_period,quarter,c1_cleared_pattern,pm_pd_spacing_pct,directional_level_order_inner_to_outer,A37_G_N1_PM_PD_SPACING_Q4,A37_G_P2_PD_AH_PM_ORDERING,A38_T_P1_PM_REMAINS_FOR_C2,A38_T_N1_PD_REMAINS_FOR_C2,a42_priorclose_to_outer_consumed_ratio,A42_N2_OPEN_CONSUMED_RATIO_Q2
AXP,2026-08-24,BULL,VALIDATION,2026Q3,PM+AH+PD,0.22566660728073157,PM>AH>PD,False,False,False,False,1.0480000000000018,False
BA,2025-06-25,BEAR,DISCOVERY,2025Q2,PM+AH,0.16471586513263825,PM>AH>PD,False,False,False,True,-0.1884057971014433,False
BA,2025-07-14,BULL,DISCOVERY,2025Q3,PM+AH+PD,1.322432494055563,PD>AH>PM,False,True,False,False,0.9244532803180924,False
BA,2025-09-12,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.1546720043672111,PM>AH>PD,False,False,False,False,0.2497655517349538,True
BA,2025-10-29,BEAR,DISCOVERY,2025Q4,PM+AH+PD,2.023868947678907,AH>PD>PM,False,False,False,False,0.3710937499999952,True
BA,2025-10-31,BEAR,DISCOVERY,2025Q4,PM,0.23968840507339947,PM>AH>PD,False,False,False,False,-12.666666666666035,False
BA,2025-12-31,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.022891152569524068,PM>AH>PD,False,False,False,False,-4.3000000000003125,False
BA,2026-01-22,BULL,VALIDATION,2026Q1,PM+AH+PD,0.27418489598855483,AH>PD>PM,False,False,False,False,1.0,False
BA,2026-01-27,BEAR,VALIDATION,2026Q1,AH+PD,2.5979343453471584,AH>PD>PM,False,False,True,False,0.8032786885245903,False
BA,2026-02-10,BULL,VALIDATION,2026Q1,PM+AH,0.342270393610954,AH>PM>PD,False,False,False,True,0.25663716814158694,True
BA,2026-05-12,BEAR,VALIDATION,2026Q2,PM+AH,0.9509783294761164,PM>AH>PD,True,False,False,True,-0.38547486033519596,False
BAC,2025-06-23,BULL,DISCOVERY,2025Q2,NONE,0.26321561745996364,PM>AH>PD,False,False,False,False,-0.9230769230769903,False
BAC,2025-08-20,BULL,DISCOVERY,2025Q3,PM+PD,0.1350018173321517,PD>PM>AH,False,False,False,False,0.36363636363636365,True
