hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,VALIDATION_NEWER,197,192,88,104,5,0,45.833333333333336,2.2746626745200844,2.2588100331905863,1.5640709113353735,1.5873015873015939,74,67
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,VALIDATION_OLDER,128,125,62,63,3,0,49.6,2.3157397159743174,1.7842089931807528,1.779500728938648,1.3488774208906773,62,54
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,VALIDATION_NEWER,118,115,63,52,3,0,54.78260869565217,1.6268407175747148,1.5027214725436773,1.2297581218712217,0.9576108568473658,70,24
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,VALIDATION_OLDER,125,124,63,61,1,0,50.806451612903224,1.296787183774817,1.3521605434973019,1.0172432802979727,1.0645315378841314,73,23
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,114,114,48,66,0,0,42.10526315789474,1.514623166425953,1.6253665733189362,0.8557140412969062,1.0573775706962136,61,24
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,96,94,42,52,2,0,44.680851063829785,1.4391896418494199,1.8347494470893573,1.0711437879975878,1.4012725351630269,67,24
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,254,243,93,150,4,7,38.27160493827161,1.6369934257811924,1.7706830480659284,1.019148568007929,1.323258913820626,98,54
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,213,209,93,116,4,0,44.49760765550239,1.3273859938540105,1.4915862351738463,1.0933163930589396,1.1341977745872165,101,49
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,78,77,33,44,1,0,42.857142857142854,2.069249710602684,1.6463565077523623,1.1625916884773657,1.1913377916959385,55,22
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,103,99,48,51,4,0,48.484848484848484,1.5217773525967984,2.0522544706013055,1.0724548440065729,1.5809923527713783,74,22
