hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,INTC,5,5,5,0,0,0,100.0,2.234511788922494,3.724604884955099,1.1728367274150089,3.6732675150754193,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ISRG,3,3,3,0,0,0,100.0,2.838611352016759,0.9658516606320884,1.3935867947503657,0.24724657226343508,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,IWM,5,4,3,1,0,1,75.0,0.8400453543125866,1.0124339404804394,0.7233402563918864,0.3679529611892848,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,JNJ,6,6,3,3,0,0,50.0,0.7424680200631456,1.027142278379895,0.5887640043295452,0.8706749768270396,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,JPM,3,3,2,1,0,0,66.66666666666667,0.8619457657909648,0.6244123924971429,1.0396151486778895,0.2776289025925748,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,KLAC,1,1,1,0,0,0,100.0,0.8274610292547422,5.872304078582106,0.8274610292547422,5.872304078582106,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,LLY,7,7,7,0,0,0,100.0,2.1810752206889767,1.5414763374670122,2.1934352348285535,1.0101346476184159,1,7
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,LMT,1,1,0,1,0,0,0.0,1.786949903127582,1.217651536119566,1.786949903127582,1.217651536119566,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,LOW,3,3,2,1,0,0,66.66666666666667,1.828622442832322,0.5639209325118735,1.9974834853727557,0.3471167614006211,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,LRCX,3,3,2,1,0,0,66.66666666666667,1.3398933906186885,4.720576803923584,1.0101909429652585,5.814032900930713,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,LULU,4,3,3,0,1,0,100.0,3.4958570705627405,0.567522151854339,3.5762512319226407,0.6766970303731127,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MA,6,6,3,3,0,0,50.0,1.6926632684172567,0.6247651217059808,1.6045665158032998,0.6323283414786686,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MCD,2,2,0,2,0,0,0.0,0.3300795576369787,2.064393413122276,0.3300795576369787,2.064393413122276,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,META,5,5,3,2,0,0,60.0,2.222837509386336,0.7054699791750523,2.256816651266224,0.6244257664953822,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MNDY,9,8,3,5,1,0,37.5,3.150296422901171,1.9500535890033817,2.915492957746469,1.8873239436619764,1,9
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MRK,2,2,2,0,0,0,100.0,1.94674899823967,0.2683487473198969,1.94674899823967,0.2683487473198969,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MRNA,2,1,1,0,1,0,100.0,2.362752156824664,4.6754039585807226,2.362752156824664,4.6754039585807226,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MRVL,6,6,5,1,0,0,83.33333333333333,2.1124877284288517,4.089474988539934,2.2870468161590205,3.5468507217779246,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MS,3,3,3,0,0,0,100.0,1.1054827740574298,0.47372477713092503,0.8950789812517578,0.3761985594347815,1,3
