metric,research_period,direction,geometry_quintile,binary_n,favorable_n,adverse_n,favorable_first_pct
closest_pair_spacing_pct,VALIDATION,BULL,Q5,42,23,19,54.76190476190476
c2_beyond_pm_pct,DISCOVERY,BEAR,Q1,44,25,19,56.81818181818182
c2_beyond_pm_pct,DISCOVERY,BEAR,Q2,44,27,17,61.36363636363637
c2_beyond_pm_pct,DISCOVERY,BEAR,Q3,36,16,20,44.44444444444444
c2_beyond_pm_pct,DISCOVERY,BEAR,Q4,48,24,24,50.0
c2_beyond_pm_pct,DISCOVERY,BEAR,Q5,49,26,23,53.06122448979592
c2_beyond_pm_pct,DISCOVERY,BULL,Q1,29,16,13,55.172413793103445
c2_beyond_pm_pct,DISCOVERY,BULL,Q2,29,18,11,62.06896551724138
c2_beyond_pm_pct,DISCOVERY,BULL,Q3,36,25,11,69.44444444444444
c2_beyond_pm_pct,DISCOVERY,BULL,Q4,25,15,10,60.0
c2_beyond_pm_pct,DISCOVERY,BULL,Q5,24,12,12,50.0
c2_beyond_pm_pct,VALIDATION,BEAR,Q1,33,16,17,48.484848484848484
c2_beyond_pm_pct,VALIDATION,BEAR,Q2,33,24,9,72.72727272727273
c2_beyond_pm_pct,VALIDATION,BEAR,Q3,58,31,27,53.44827586206897
c2_beyond_pm_pct,VALIDATION,BEAR,Q4,45,24,21,53.333333333333336
c2_beyond_pm_pct,VALIDATION,BEAR,Q5,51,27,24,52.94117647058823
c2_beyond_pm_pct,VALIDATION,BULL,Q1,32,20,12,62.5
c2_beyond_pm_pct,VALIDATION,BULL,Q2,17,10,7,58.8235294117647
c2_beyond_pm_pct,VALIDATION,BULL,Q3,46,23,23,50.0
c2_beyond_pm_pct,VALIDATION,BULL,Q4,37,27,10,72.97297297297297
c2_beyond_pm_pct,VALIDATION,BULL,Q5,37,23,14,62.16216216216216
c2_beyond_ah_pct,DISCOVERY,BEAR,Q1,50,27,23,54.0
c2_beyond_ah_pct,DISCOVERY,BEAR,Q2,43,22,21,51.16279069767442
c2_beyond_ah_pct,DISCOVERY,BEAR,Q3,48,27,21,56.25
c2_beyond_ah_pct,DISCOVERY,BEAR,Q4,46,25,21,54.34782608695652
c2_beyond_ah_pct,DISCOVERY,BEAR,Q5,34,17,17,50.0
c2_beyond_ah_pct,DISCOVERY,BULL,Q1,23,12,11,52.17391304347826
c2_beyond_ah_pct,DISCOVERY,BULL,Q2,30,22,8,73.33333333333333
c2_beyond_ah_pct,DISCOVERY,BULL,Q3,24,14,10,58.333333333333336
c2_beyond_ah_pct,DISCOVERY,BULL,Q4,27,15,12,55.55555555555556
c2_beyond_ah_pct,DISCOVERY,BULL,Q5,39,23,16,58.97435897435897
c2_beyond_ah_pct,VALIDATION,BEAR,Q1,28,19,9,67.85714285714286
c2_beyond_ah_pct,VALIDATION,BEAR,Q2,26,15,11,57.69230769230769
c2_beyond_ah_pct,VALIDATION,BEAR,Q3,53,25,28,47.16981132075472
c2_beyond_ah_pct,VALIDATION,BEAR,Q4,44,25,19,56.81818181818182
c2_beyond_ah_pct,VALIDATION,BEAR,Q5,69,38,31,55.072463768115945
c2_beyond_ah_pct,VALIDATION,BULL,Q1,19,12,7,63.1578947368421
c2_beyond_ah_pct,VALIDATION,BULL,Q2,21,14,7,66.66666666666667
c2_beyond_ah_pct,VALIDATION,BULL,Q3,43,26,17,60.46511627906977
c2_beyond_ah_pct,VALIDATION,BULL,Q4,47,28,19,59.57446808510638
c2_beyond_ah_pct,VALIDATION,BULL,Q5,39,23,16,58.97435897435897
c2_beyond_pd_pct,DISCOVERY,BEAR,Q1,46,23,23,50.0
c2_beyond_pd_pct,DISCOVERY,BEAR,Q2,50,25,25,50.0
c2_beyond_pd_pct,DISCOVERY,BEAR,Q3,40,24,16,60.0
c2_beyond_pd_pct,DISCOVERY,BEAR,Q4,42,26,16,61.904761904761905
c2_beyond_pd_pct,DISCOVERY,BEAR,Q5,43,20,23,46.51162790697674
c2_beyond_pd_pct,DISCOVERY,BULL,Q1,27,14,13,51.851851851851855
c2_beyond_pd_pct,DISCOVERY,BULL,Q2,23,13,10,56.52173913043478
c2_beyond_pd_pct,DISCOVERY,BULL,Q3,32,23,9,71.875
c2_beyond_pd_pct,DISCOVERY,BULL,Q4,31,18,13,58.064516129032256
c2_beyond_pd_pct,DISCOVERY,BULL,Q5,30,18,12,60.0
c2_beyond_pd_pct,VALIDATION,BEAR,Q1,27,16,11,59.25925925925926
c2_beyond_pd_pct,VALIDATION,BEAR,Q2,32,20,12,62.5
c2_beyond_pd_pct,VALIDATION,BEAR,Q3,30,13,17,43.333333333333336
c2_beyond_pd_pct,VALIDATION,BEAR,Q4,62,34,28,54.83870967741935
c2_beyond_pd_pct,VALIDATION,BEAR,Q5,69,39,30,56.52173913043478
c2_beyond_pd_pct,VALIDATION,BULL,Q1,38,24,14,63.1578947368421
c2_beyond_pd_pct,VALIDATION,BULL,Q2,26,17,9,65.38461538461539
c2_beyond_pd_pct,VALIDATION,BULL,Q3,23,12,11,52.17391304347826
c2_beyond_pd_pct,VALIDATION,BULL,Q4,41,22,19,53.65853658536585
c2_beyond_pd_pct,VALIDATION,BULL,Q5,41,28,13,68.29268292682927
c2_beyond_outermost_pct,DISCOVERY,BEAR,Q1,46,24,22,52.17391304347826
c2_beyond_outermost_pct,DISCOVERY,BEAR,Q2,46,28,18,60.869565217391305
c2_beyond_outermost_pct,DISCOVERY,BEAR,Q3,46,26,20,56.52173913043478
c2_beyond_outermost_pct,DISCOVERY,BEAR,Q4,45,19,26,42.22222222222222
c2_beyond_outermost_pct,DISCOVERY,BEAR,Q5,38,21,17,55.26315789473684
c2_beyond_outermost_pct,DISCOVERY,BULL,Q1,27,13,14,48.148148148148145
c2_beyond_outermost_pct,DISCOVERY,BULL,Q2,27,14,13,51.851851851851855
c2_beyond_outermost_pct,DISCOVERY,BULL,Q3,26,19,7,73.07692307692308
c2_beyond_outermost_pct,DISCOVERY,BULL,Q4,28,18,10,64.28571428571429
c2_beyond_outermost_pct,DISCOVERY,BULL,Q5,35,22,13,62.857142857142854
c2_beyond_outermost_pct,VALIDATION,BEAR,Q1,28,16,12,57.142857142857146
c2_beyond_outermost_pct,VALIDATION,BEAR,Q2,42,23,19,54.76190476190476
c2_beyond_outermost_pct,VALIDATION,BEAR,Q3,35,23,12,65.71428571428571
c2_beyond_outermost_pct,VALIDATION,BEAR,Q4,47,22,25,46.808510638297875
c2_beyond_outermost_pct,VALIDATION,BEAR,Q5,68,38,30,55.88235294117647
c2_beyond_outermost_pct,VALIDATION,BULL,Q1,26,15,11,57.69230769230769
c2_beyond_outermost_pct,VALIDATION,BULL,Q2,42,29,13,69.04761904761905
c2_beyond_outermost_pct,VALIDATION,BULL,Q3,25,14,11,56.0
c2_beyond_outermost_pct,VALIDATION,BULL,Q4,30,17,13,56.666666666666664
c2_beyond_outermost_pct,VALIDATION,BULL,Q5,46,28,18,60.869565217391305
