research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,MAJORITY_OPPOSING,311,305,156,149,5,1,51.14754098360656,48.231511254019296,1.961517101143159,1.403316879651482,105,23,BULL,market_3idx_prior_5d_state
VALIDATION,UNKNOWN,83,83,39,44,0,0,46.98795180722892,45.78313253012048,1.7121545624200263,1.5170451110706553,56,5,BULL,market_3idx_prior_5d_state
DISCOVERY,ALL_3_ALIGNED,1569,1530,771,759,2,37,50.3921568627451,44.04079031230083,1.3296541265709534,1.1854731985167297,112,118,ALL,market_3idx_daily_ema20_state
DISCOVERY,ALL_3_OPPOSING,1580,1540,783,757,9,31,50.84415584415584,45.18987341772152,1.303804717760909,1.2200762678922434,112,118,ALL,market_3idx_daily_ema20_state
DISCOVERY,MAJORITY_ALIGNED,283,282,148,134,0,1,52.4822695035461,50.88339222614841,1.2371004562259733,1.5928651849162474,103,23,ALL,market_3idx_daily_ema20_state
DISCOVERY,MAJORITY_OPPOSING,323,317,161,156,3,3,50.78864353312303,50.154798761609904,1.2895204796605946,1.3798508677215662,106,23,ALL,market_3idx_daily_ema20_state
DISCOVERY,UNKNOWN,517,508,271,237,0,9,53.346456692913385,52.99806576402321,1.1859293176640628,1.200947636903771,111,20,ALL,market_3idx_daily_ema20_state
VALIDATION,ALL_3_ALIGNED,1495,1466,704,762,22,7,48.02182810368349,45.1505016722408,1.5406686168920478,1.5394960706830865,112,113,ALL,market_3idx_daily_ema20_state
VALIDATION,ALL_3_OPPOSING,1424,1391,709,682,20,13,50.9705248023005,50.21067415730337,1.7056524510247688,1.5265590578838906,112,113,ALL,market_3idx_daily_ema20_state
VALIDATION,MAJORITY_ALIGNED,538,522,240,282,14,2,45.97701149425287,46.468401486988846,1.856153245660065,1.715941238586701,109,43,ALL,market_3idx_daily_ema20_state
VALIDATION,MAJORITY_OPPOSING,578,562,291,271,11,5,51.779359430604984,45.8477508650519,1.7781193246473492,1.550482356745802,111,43,ALL,market_3idx_daily_ema20_state
VALIDATION,UNKNOWN,150,147,70,77,2,1,47.61904761904762,47.333333333333336,1.5700917576592008,1.3316224635175786,87,5,ALL,market_3idx_daily_ema20_state
DISCOVERY,ALL_3_ALIGNED,149,148,61,87,0,1,41.21621621621622,44.29530201342282,1.9923057400140836,1.4392513098016133,84,11,BEAR,market_3idx_daily_ema20_state
