research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,BOTH_BELOW_BASELINE,1194,1153,582,571,0,41,50.47701647875108,45.89614740368509,1.1482338998499972,1.1646692811202137,0.8122939086721795,0.7741979505827907,112,146,ALL,opening_participation_state
DISCOVERY,MIXED,1301,1278,657,621,2,21,51.40845070422535,46.19523443504996,1.2710384347560324,1.1452471761751208,0.9162903331369892,0.8054388050704159,112,151,ALL,opening_participation_state
DISCOVERY,UNKNOWN,253,246,147,99,0,7,59.75609756097561,62.055335968379445,1.1539274949636271,1.142105638314017,0.843756792538578,0.9195634599838285,99,16,ALL,opening_participation_state
VALIDATION,BOTH_ABOVE_BASELINE,1507,1467,717,750,33,7,48.875255623721884,47.113470471134704,1.8553306829605936,1.6801251107628046,1.2992034645425774,1.1984483020176473,112,161,ALL,opening_participation_state
VALIDATION,BOTH_BELOW_BASELINE,1262,1232,581,651,15,15,47.15909090909091,47.543581616481774,1.5099353569411302,1.5197931698372635,1.0581324099642173,1.101278918190532,112,157,ALL,opening_participation_state
VALIDATION,MIXED,1416,1389,716,673,21,6,51.54787616990641,47.03389830508475,1.6190000651777716,1.443882598820661,1.1686392353652824,1.0587313927009085,112,161,ALL,opening_participation_state
DISCOVERY,BOTH_ABOVE_BASELINE,762,746,361,385,10,6,48.39142091152815,42.51968503937008,1.4525939869871258,1.4968050515289664,0.9955380065424,1.1461276604109658,112,144,BEAR,opening_participation_state
DISCOVERY,BOTH_BELOW_BASELINE,623,603,293,310,0,20,48.59038142620232,45.74638844301766,1.1586986104264771,1.193509505680977,0.8219178082191815,0.8116645105648952,111,138,BEAR,opening_participation_state
DISCOVERY,MIXED,637,627,316,311,1,9,50.398724082934606,45.368916797488225,1.3400651176612155,1.092474734318992,0.9950411066161929,0.8104315414758319,112,143,BEAR,opening_participation_state
DISCOVERY,UNKNOWN,150,147,83,64,0,3,56.46258503401361,62.0,1.0324541985691964,1.1762140632727631,0.7162548940902984,0.9704383763349429,85,13,BEAR,opening_participation_state
DISCOVERY,BOTH_ABOVE_BASELINE,762,754,387,367,2,6,51.326259946949605,46.58792650918635,1.446911057189268,1.3057620525029145,1.019197061777026,0.9568805709133437,111,145,BULL,opening_participation_state
DISCOVERY,BOTH_BELOW_BASELINE,571,550,289,261,0,21,52.54545454545455,46.05954465849387,1.1368161858584962,1.1332026263017274,0.8087574544563427,0.7352941176470592,110,137,BULL,opening_participation_state
DISCOVERY,MIXED,664,651,341,310,1,12,52.38095238095238,46.98795180722892,1.2048185597400662,1.195873750666618,0.8719099842432343,0.8000233604935199,111,146,BULL,opening_participation_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,opening_participation_state
VALIDATION,BOTH_ABOVE_BASELINE,711,690,344,346,15,6,49.85507246376812,47.11673699015471,1.7964495892204355,1.6822014869867596,1.3110161272942837,1.2415669822552449,112,152,BEAR,opening_participation_state
VALIDATION,BOTH_BELOW_BASELINE,631,621,295,326,4,6,47.50402576489533,48.96988906497623,1.5055410428584288,1.49276454741357,1.0706113108859123,1.0905780257244684,109,148,BEAR,opening_participation_state
VALIDATION,MIXED,690,679,360,319,7,4,53.01914580265096,47.68115942028985,1.5879091031117973,1.4536718529548995,1.160516162307164,1.0241041726466347,112,153,BEAR,opening_participation_state
VALIDATION,BOTH_ABOVE_BASELINE,796,777,373,404,18,1,48.00514800514801,47.11055276381909,1.907924222720961,1.6782704581306043,1.2936369183083967,1.1831433900633614,112,154,BULL,opening_participation_state
VALIDATION,BOTH_BELOW_BASELINE,631,611,286,325,11,9,46.808510638297875,46.11727416798732,1.514329671023832,1.5468217922609575,1.0409766253430437,1.1278195488721803,110,146,BULL,opening_participation_state
VALIDATION,MIXED,726,710,356,354,14,2,50.140845070422536,46.41873278236915,1.648549326645433,1.4345787622467978,1.177237815652724,1.0818338495302213,112,158,BULL,opening_participation_state
DISCOVERY,HIGH,805,793,379,414,10,2,47.793190416141236,42.857142857142854,1.5476032437009866,1.548672057710098,1.1283582089552158,1.0962606998047744,111,149,ALL,c1_rvol_20d_discovery_state
DISCOVERY,LOW,805,778,410,368,1,26,52.69922879177378,47.577639751552795,1.247341437324071,1.148381845188505,0.8669995460735473,0.7838283828382744,111,146,ALL,c1_rvol_20d_discovery_state
DISCOVERY,MODERATE,2415,2366,1199,1167,3,46,50.676246830092985,45.631469979296064,1.2372644759248743,1.1829629265610604,0.8857528899564682,0.8627283017713443,111,151,ALL,c1_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,247,240,146,94,0,7,60.833333333333336,62.75303643724696,1.166212964951261,1.121889466189356,0.8776053910045483,0.8423586040914595,97,10,ALL,c1_rvol_20d_discovery_state
VALIDATION,HIGH,790,765,392,373,25,0,51.24183006535948,48.10126582278481,1.9236696672077742,1.708801624670472,1.416450012006122,1.2916652013363794,112,156,ALL,c1_rvol_20d_discovery_state
VALIDATION,LOW,892,868,431,437,17,7,49.654377880184335,46.52466367713004,1.5769484099309004,1.5937831236571793,1.1068390347190502,1.1766763853809665,112,160,ALL,c1_rvol_20d_discovery_state
VALIDATION,MODERATE,2503,2455,1191,1264,27,21,48.5132382892057,47.18337994406712,1.6251253828288217,1.4873581511755305,1.1490060186029594,1.0584092147248794,112,161,ALL,c1_rvol_20d_discovery_state
DISCOVERY,HIGH,420,410,197,213,9,1,48.048780487804876,42.61904761904762,1.5296956246228135,1.6225451091418037,1.1624978500896037,1.156848088605192,108,136,BEAR,c1_rvol_20d_discovery_state
