quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature,feature_label
2026Q3,EXTREME,187,184,88,96,3,0,47.82608695652174,94,50.26737967914438,1.975564053691,2.0512384534273504,1.3179237631792347,1.4403907496012833,79,41,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,LOW,79,75,34,41,0,4,45.333333333333336,43,54.43037974683544,1.1774717218161004,1.0606286899592328,0.5649133239396569,0.6748996866537157,46,34,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,MODERATE,292,288,142,146,1,3,49.30555555555556,139,47.602739726027394,1.541389240426153,1.316922897492348,1.0948425897204683,1.028393542370175,99,41,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,EXTREME,216,202,91,111,14,0,45.04950495049505,102,47.22222222222222,2.02971217655163,2.0456947008909476,1.6014167443834748,1.5953971800920257,75,41,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,LOW,69,66,30,36,1,2,45.45454545454545,34,49.27536231884058,1.0104146114150592,1.0820321523131051,0.5720682621711911,0.7197382769901817,39,31,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,MODERATE,252,248,115,133,2,2,46.37096774193548,112,44.44444444444444,1.3760302054085465,1.4673738072941165,1.0490223792603095,1.1426460227744584,97,41,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q2,EXTREME,136,136,71,65,0,0,52.205882352941174,72,52.94117647058823,1.5682184607290497,1.571724740481202,1.1075454562766072,1.1826772786160686,71,25,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,LOW,128,124,64,60,0,4,51.61290322580645,63,49.21875,0.872148677505795,0.954589899328144,0.6541342367572363,0.7998151685561752,69,25,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,MODERATE,425,418,223,195,0,7,53.34928229665072,215,50.588235294117645,1.1527665100571969,1.1043913385359487,0.8912655971479418,0.8218887533803398,107,25,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,EXTREME,367,359,161,198,8,0,44.84679665738162,146,39.782016348773844,1.5035813954910282,1.6722871920777036,1.0975609756097544,1.2605284888521873,94,64,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,LOW,322,306,137,169,0,16,44.77124183006536,149,46.27329192546584,0.8951772864207282,1.0536846872820576,0.6526336063600108,0.8362809822097739,102,63,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,MODERATE,936,925,445,480,1,10,48.108108108108105,390,41.666666666666664,1.1044431624927975,1.1427299704861171,0.8460767181470332,0.8287874446898638,111,64,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,EXTREME,291,287,130,157,4,0,45.29616724738676,123,42.2680412371134,1.8283741324562588,1.8274913432474258,1.3645147683464016,1.3810699670202347,93,62,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,LOW,363,340,188,152,0,23,55.294117647058826,160,44.07713498622589,1.149987272441408,1.033852099080152,0.7786885245901547,0.6450438494760761,107,63,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,MODERATE,1048,1026,550,476,1,21,53.606237816764136,528,50.38167938931298,1.349680988207862,1.2243213609292505,0.9600836746881516,0.8523756440347647,112,64,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,EXTREME,448,433,226,207,15,0,52.19399538106236,218,48.660714285714285,2.2056191547573243,1.724730651982228,1.6948906582698307,1.3012344091551973,102,61,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,LOW,256,252,129,123,2,2,51.19047619047619,121,47.265625,1.2226489646265306,1.2840226184117747,0.9290086919001082,0.9610034147765261,98,59,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,MODERATE,865,856,455,401,7,2,53.154205607476634,403,46.589595375722546,1.4986930950198079,1.3555760249034141,1.1396068389746894,1.0326958207508412,112,61,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,EXTREME,519,505,254,251,14,0,50.2970297029703,242,46.628131021194605,2.1235430302914367,2.0942158146909304,1.5983234806543296,1.4937235409676382,103,62,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,LOW,230,221,106,115,0,9,47.963800904977376,117,50.869565217391305,1.3510959197625168,1.187983730999129,0.8613369220020046,0.8481328763844183,85,61,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,MODERATE,878,867,439,428,8,3,50.63437139561707,419,47.722095671981776,1.656122760204527,1.3774464837201081,1.1583724773928874,1.003914729407503,112,62,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,EXTREME,368,351,154,197,17,0,43.87464387464387,173,47.01086956521739,1.9171580754478246,2.024022435075453,1.3432109996235284,1.5423905029742153,98,41,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,LOW,163,157,70,87,0,6,44.5859872611465,85,52.147239263803684,1.166852985231528,1.2341134415909736,0.6072435480373046,0.7918937329700209,73,41,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,MODERATE,564,555,276,279,4,5,49.729729729729726,266,47.163120567375884,1.545605042546688,1.404646222727891,1.1555334873636811,1.004272677414934,110,41,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,EXTREME,71,71,39,32,0,0,54.929577464788736,43,60.563380281690144,1.650959712227674,1.5883072241966394,1.0632133229195604,1.3594819271574923,48,22,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,LOW,60,58,29,29,0,2,50.0,32,53.333333333333336,0.7714039792650328,1.1073034260628511,0.612521808036392,1.0486583839856811,41,22,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,MODERATE,244,239,118,121,0,5,49.37238493723849,123,50.40983606557377,0.9652510817124289,1.1845735607113843,0.728787027505698,0.9613804604690639,97,25,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,EXTREME,65,65,32,33,0,0,49.23076923076923,29,44.61538461538461,1.4778395552459365,1.5536115659612626,1.1434511434511498,0.9909436221478763,46,19,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,LOW,68,66,35,31,0,2,53.03030303030303,31,45.588235294117645,0.9610410583064675,0.8198426698563437,0.7718370628003111,0.5510172070046423,44,23,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,MODERATE,181,179,105,74,0,2,58.659217877094974,92,50.828729281767956,1.405549739428044,0.9963003870950303,1.1236218625381102,0.6779437899032457,84,25,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,EXTREME,202,195,84,111,7,0,43.07692307692308,75,37.12871287128713,1.4185515035618692,1.8678973653203765,1.0237660115506886,1.4715724787683162,77,54,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,LOW,184,173,79,94,0,11,45.664739884393065,78,42.391304347826086,0.8811575440697179,0.9999509808930328,0.6577635456608621,0.8103706955413896,82,61,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,MODERATE,469,465,202,263,1,3,43.44086021505376,180,38.37953091684435,1.0477684324831285,1.164299611977982,0.7932210731496039,0.8552245963659713,109,64,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,EXTREME,165,164,77,87,1,0,46.951219512195124,71,43.03030303030303,1.607678596519453,1.4328129193806134,1.1661807580175005,1.0791537599683554,75,61,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,LOW,138,133,58,75,0,5,43.609022556390975,71,51.44927536231884,0.9138702762220756,1.1253296291340904,0.6526336063600108,0.856017058891791,83,50,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q3,MODERATE,467,460,243,217,0,7,52.82608695652174,210,44.96788008565311,1.1613606108322725,1.1210679536559576,0.8718297101449393,0.7917498336659997,107,64,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,EXTREME,140,138,67,71,2,0,48.55072463768116,63,45.0,2.042666243869167,1.7371723433827957,1.5474777063111367,1.3053558772153475,72,48,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,LOW,180,169,93,76,0,11,55.02958579881657,76,42.22222222222222,1.2372458622634188,1.0052070504821304,0.8502560800544052,0.6451334510470675,83,60,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,MODERATE,494,487,260,227,1,6,53.38809034907597,245,49.59514170040486,1.5398253465801839,1.2410572069273977,1.126176883141245,0.8863545111168138,106,64,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,EXTREME,151,149,63,86,2,0,42.281879194630875,60,39.735099337748345,1.6296927046562115,1.9112308133205922,1.1386470194239764,1.5013915336165102,70,53,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,LOW,183,171,95,76,0,12,55.55555555555556,84,45.90163934426229,1.064159151305004,1.0620275567175506,0.7524410691389702,0.6208505293378652,86,54,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q4,MODERATE,554,539,290,249,0,15,53.80333951762523,283,51.08303249097473,1.180129881644817,1.2093980614290978,0.8640196661909185,0.8174381163135833,111,64,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,EXTREME,196,192,110,82,4,0,57.291666666666664,100,51.02040816326531,2.3790855937836044,1.6544803571181894,1.90884008487861,1.2351695004268342,80,56,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,LOW,114,113,59,54,1,0,52.21238938053097,57,50.0,1.1918961834817263,1.1910141530543894,0.9176869627164388,1.0146319585645993,67,50,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,MODERATE,423,421,226,195,2,0,53.681710213776725,194,45.8628841607565,1.5179432432882747,1.2973665175217435,1.1554088369730964,0.9962976829319067,110,61,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
