research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,level_family
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,308,301,170,131,4,3,56.478405315614616,48.37662337662338,1.4266413977566144,1.2341192897759563,1.0633661980886036,0.8666905959006534,97,127,ALL,PD
DISCOVERY,C2_BREAK,339,332,176,156,3,4,53.01204819277108,45.13274336283186,1.3973899838904948,1.2519128226496858,0.9895266594124134,0.8876080691642606,106,133,ALL,PD
DISCOVERY,C2_CLOSED_BEYOND,2,2,0,2,0,0,0.0,0.0,0.10362904864469275,2.5116040787549925,0.10362904864469275,2.5116040787549925,2,2,ALL,PD
DISCOVERY,FAILED_BREAK,122,121,59,62,0,1,48.760330578512395,50.0,1.0943024354926956,1.1760468897175,0.6707502449874279,0.8778680149341378,75,85,ALL,PD
DISCOVERY,NOT_CLEARED,2777,2710,1355,1355,2,65,50.0,46.813107670147645,1.2479449161055542,1.2000510339158244,0.876450676982585,0.8472806095638391,112,157,ALL,PD
DISCOVERY,UNKNOWN,30,30,11,19,0,0,36.666666666666664,33.333333333333336,0.775656122578373,1.3001716775222494,0.31786590528605135,1.1117020747011002,30,1,ALL,PD
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,790,763,394,369,24,3,51.63826998689384,48.22784810126582,1.7760882299228107,1.6500210119689582,1.2728018444680693,1.1809350952181443,112,153,ALL,PD
VALIDATION,C1_BREAK_HELD_THROUGH_C2,287,284,149,135,3,0,52.46478873239437,48.43205574912892,1.820864784121774,1.4539367350190706,1.353965183752411,0.973487986743991,105,128,ALL,PD
VALIDATION,C2_BREAK,288,283,139,144,5,0,49.11660777385159,47.916666666666664,1.6447542122329,1.5630909721063777,1.139111723014722,1.1631535690890202,100,130,ALL,PD
VALIDATION,FAILED_BREAK,118,116,45,71,2,0,38.793103448275865,38.13559322033898,1.5477643497029732,1.366617078153499,0.9562372154434756,1.0023348469785134,62,84,ALL,PD
VALIDATION,NOT_CLEARED,2651,2594,1271,1323,33,24,48.99768696993061,47.378347793285556,1.6301520180297302,1.5393398633865452,1.1517034347055979,1.1070836556525459,112,159,ALL,PD
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,243,236,116,120,4,3,49.152542372881356,39.91769547325103,1.41847213615314,1.5791454322897969,1.1338881207662732,1.2138807162480794,102,88,BEAR,PD
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,132,130,66,64,2,0,50.76923076923077,46.21212121212121,1.478503506143479,1.3354135172983124,1.081498808490064,1.008991091197145,78,78,BEAR,PD
DISCOVERY,C2_BREAK,172,167,90,77,3,2,53.89221556886228,44.18604651162791,1.5120623885499065,1.256158239350401,1.0237660115506886,0.9097677167886105,86,92,BEAR,PD
DISCOVERY,C2_CLOSED_BEYOND,1,1,0,1,0,0,0.0,0.0,0.2072580972893855,3.5030682326167373,0.2072580972893855,3.5030682326167373,1,1,BEAR,PD
DISCOVERY,FAILED_BREAK,55,55,30,25,0,0,54.54545454545455,45.45454545454545,1.0452898129407684,1.3220282255929034,0.7652347821665559,0.9865684060382721,42,42,BEAR,PD
DISCOVERY,NOT_CLEARED,1502,1467,724,743,2,33,49.35241990456714,46.870838881491345,1.2713890399398717,1.2042853405115297,0.8879721940216715,0.8569305767237202,112,156,BEAR,PD
DISCOVERY,UNKNOWN,16,16,1,15,0,0,6.25,12.5,0.20343444775496894,1.8880746300429074,0.11031398987257529,1.662394230055881,16,1,BEAR,PD
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,352,346,193,153,1,5,55.78034682080925,45.73863636363637,1.4221596940939136,1.3593968933598113,1.083313620083497,0.9320017621988317,102,113,BULL,PD
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,176,171,104,67,2,3,60.8187134502924,50.0,1.3877448164664659,1.1581486191341896,1.0384476986357765,0.7924201342837762,88,99,BULL,PD
DISCOVERY,C2_BREAK,167,165,86,79,0,2,52.121212121212125,46.10778443113772,1.2792842737023584,1.247540297664518,0.9749547550937101,0.8391406911206097,87,95,BULL,PD
DISCOVERY,C2_CLOSED_BEYOND,1,1,0,1,0,0,0.0,0.0,0.0,1.520139924893248,0.0,1.520139924893248,1,1,BULL,PD
DISCOVERY,FAILED_BREAK,67,66,29,37,0,1,43.93939393939394,53.73134328358209,1.1345366778860684,1.0562114647451541,0.6461322035561696,0.7772282224689622,52,55,BULL,PD
DISCOVERY,NOT_CLEARED,1275,1243,631,612,0,32,50.76427996781979,46.745098039215684,1.2203268188513232,1.1950628546948445,0.8580460635255225,0.8287495416208255,112,157,BULL,PD
DISCOVERY,UNKNOWN,14,14,10,4,0,0,71.42857142857143,57.142857142857146,1.4296237509479777,0.6282825889272114,1.3912452135716529,0.334677005587365,14,1,BULL,PD
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,359,350,185,165,9,0,52.857142857142854,46.51810584958217,1.6778311357506632,1.7132478044121948,1.286802133811132,1.3078049801213643,105,106,BEAR,PD
VALIDATION,C1_BREAK_HELD_THROUGH_C2,136,134,72,62,2,0,53.73134328358209,49.26470588235294,1.9513428409256173,1.4683584947125177,1.5958556509879274,1.1072742747441322,74,92,BEAR,PD
VALIDATION,C2_BREAK,143,142,61,81,1,0,42.95774647887324,44.75524475524475,1.6709880367643082,1.663145147936372,1.202140798682584,1.3124267045428069,80,91,BEAR,PD
VALIDATION,FAILED_BREAK,60,60,24,36,0,0,40.0,35.0,1.3897235933027068,1.3692513178801968,0.8885705540101895,1.1669740449569117,40,48,BEAR,PD
VALIDATION,NOT_CLEARED,1318,1291,652,639,12,15,50.50348567002324,49.089529590288315,1.598024086212909,1.5156152780669192,1.1212129657589716,1.0656476703835007,112,156,BEAR,PD
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,431,413,209,204,15,3,50.60532687651332,49.65197215777262,1.8579311459501915,1.597356467915311,1.2705044347796433,1.1301633262453068,106,130,BULL,PD
VALIDATION,C1_BREAK_HELD_THROUGH_C2,151,150,77,73,1,0,51.333333333333336,47.682119205298015,1.703348123689173,1.4409476004607338,1.1962315920561775,0.9052281544430113,87,81,BULL,PD
VALIDATION,C2_BREAK,145,141,78,63,4,0,55.319148936170215,51.03448275862069,1.6188822335570974,1.4644168538740387,1.0654944634901002,1.114890400604693,85,94,BULL,PD
VALIDATION,FAILED_BREAK,58,56,21,35,2,0,37.5,41.37931034482759,1.7112547873584214,1.3638920025741563,1.050531247732339,0.9536721756166993,41,50,BULL,PD
VALIDATION,NOT_CLEARED,1333,1303,619,684,21,9,47.50575594781274,45.68642160540135,1.6619184202312083,1.5627974803792435,1.1673850574712619,1.1372705506783771,112,159,BULL,PD
