model_id,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
M3_TRIAGE_PREFERRED,AMD,6,6,2,4,0,0,33.333333333333336,3.0864570796576802,2.2849994074863633,3.32856324709892,1.277663638207375,1,6
M3_TRIAGE_PREFERRED,AMGN,5,5,2,3,0,0,40.0,1.2472148236443377,0.6900393734054378,1.3590679913347568,0.5777635179485435,1,5
M3_TRIAGE_PREFERRED,AMZN,1,1,1,0,0,0,100.0,1.6077974008663836,0.10621459513495311,1.6077974008663836,0.10621459513495311,1,1
M3_TRIAGE_PREFERRED,ANET,1,1,1,0,0,0,100.0,2.186782650718848,1.5295396882928696,2.186782650718848,1.5295396882928696,1,1
M3_TRIAGE_PREFERRED,APP,6,5,2,3,1,0,40.0,3.1767651995321593,1.2625463950017242,3.137426321704349,0.8205118490894783,1,6
M3_TRIAGE_PREFERRED,ARM,5,5,4,1,0,0,80.0,4.8348641411457285,1.0634276833621943,3.7789651253890786,0.49305244285073707,1,5
M3_TRIAGE_PREFERRED,ASML,4,4,3,1,0,0,75.0,1.1086873764973952,2.003937690026774,1.0919801862306615,1.8709151080236956,1,4
M3_TRIAGE_PREFERRED,AVGO,1,1,0,1,0,0,0.0,0.7402758561668175,2.7799569242180047,0.7402758561668175,2.7799569242180047,1,1
M3_TRIAGE_PREFERRED,AXON,3,3,1,2,0,0,33.333333333333336,5.450323355816753,2.0529212861501316,4.478125141383523,1.1301633262453068,1,3
M3_TRIAGE_PREFERRED,AXP,4,4,1,3,0,0,25.0,1.5716030088612731,0.926898941910937,1.378451285818936,0.863953555304966,1,4
M3_TRIAGE_PREFERRED,BA,4,4,1,3,0,0,25.0,0.9952894746673876,2.4420111649647898,0.8162445682042643,1.7411936748980295,1,4
M3_TRIAGE_PREFERRED,BAC,2,2,0,2,0,0,0.0,0.42823546391319023,1.6072033344224959,0.42823546391319023,1.6072033344224959,1,2
M3_TRIAGE_PREFERRED,BKNG,2,2,2,0,0,0,100.0,2.875082467068842,0.44873222890805203,2.875082467068842,0.44873222890805203,1,2
M3_TRIAGE_PREFERRED,BLK,1,1,0,1,0,0,0.0,0.4937061223060516,0.8683625413610245,0.4937061223060516,0.8683625413610245,1,1
M3_TRIAGE_PREFERRED,BMY,5,5,4,1,0,0,80.0,1.1047634788709473,1.3729862236104309,1.0474179928548282,1.2909801257007052,1,5
M3_TRIAGE_PREFERRED,C,4,4,3,1,0,0,75.0,0.7176404939633939,1.6139544520595583,0.5860273679460707,1.881625065934555,1,4
M3_TRIAGE_PREFERRED,CEG,8,8,1,7,0,0,12.5,1.7842428206398022,1.9973834998497746,0.5505626335349671,2.2177343582918034,1,8
M3_TRIAGE_PREFERRED,CMCSA,3,3,2,1,0,0,66.66666666666667,1.4037379945415422,1.0363992893233884,0.5319584254030538,0.6026516673362738,1,3
M3_TRIAGE_PREFERRED,CME,2,2,1,1,0,0,50.0,1.8750422626872183,0.48975092148808974,1.8750422626872183,0.48975092148808974,1,2
M3_TRIAGE_PREFERRED,CMG,4,4,2,2,0,0,50.0,1.3523214406339188,1.2291592595209302,1.5144689371890414,1.0617922278376486,1,4
M3_TRIAGE_PREFERRED,COIN,3,3,2,1,0,0,66.66666666666667,2.477635584328782,1.4863075964693155,2.116168852639702,0.6447701972886517,1,3
