research_period,cross_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ADVERSE_CROSS,12,12,8,4,0,0,66.66666666666667,5,41.666666666666664,1.4140978234453756,1.079088686437346,1.1773481532824317,0.4549569614145934,10,12,BULL,price_sma50_cross_state
DISCOVERY,FAVORABLE_CROSS,225,222,117,105,0,3,52.7027027027027,105,46.666666666666664,1.261057389098695,1.1713163416044174,0.940484937545916,0.8133971291865975,94,117,BULL,price_sma50_cross_state
DISCOVERY,FAVORABLE_HOLD,1580,1550,824,726,2,28,53.16129032258065,755,47.78481012658228,1.3175619832256258,1.2296553091141245,0.9380809895837661,0.8618597294712894,112,161,BULL,price_sma50_cross_state
DISCOVERY,OPPOSING_HOLD,277,264,128,136,1,12,48.484848484848484,126,45.48736462093863,1.0836376021803547,1.180395931362843,0.7461153542270259,0.8022199798183527,100,119,BULL,price_sma50_cross_state
DISCOVERY,UNKNOWN,6,6,4,2,0,0,66.66666666666667,3,50.0,1.0201136803746682,0.38497809743454986,1.0835396173031384,0.24609331127464673,6,1,BULL,price_sma50_cross_state
VALIDATION,ADVERSE_CROSS,2,2,1,1,0,0,50.0,1,50.0,1.3593713486904495,1.46127545927281,1.3593713486904495,1.46127545927281,2,2,BEAR,price_sma50_cross_state
VALIDATION,FAVORABLE_CROSS,232,229,117,112,2,1,51.09170305676856,118,50.86206896551724,1.6062233132653012,1.461512319168637,1.230936769605726,1.0776706528886066,95,104,BEAR,price_sma50_cross_state
VALIDATION,FAVORABLE_HOLD,1514,1480,748,732,20,14,50.54054054054054,713,47.093791281373846,1.6928111974934188,1.5704461995255539,1.1760682500912512,1.1329609740966835,112,160,BEAR,price_sma50_cross_state
VALIDATION,OPPOSING_HOLD,284,279,133,146,4,1,47.67025089605735,141,49.647887323943664,1.35440363643159,1.4836771484403926,1.0261764263941822,0.9992955551791819,101,128,BEAR,price_sma50_cross_state
VALIDATION,ADVERSE_CROSS,3,3,2,1,0,0,66.66666666666667,2,66.66666666666667,1.562118161675194,0.443880991462708,1.1682242990654206,0.4135534347078941,3,3,BULL,price_sma50_cross_state
