symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,pm_directional_level,ah_directional_level,pd_directional_level,ema9,ema20,c2_vwap,a47_structural_center_price,a47_center_to_ema9_abs_pct,a47_center_to_ema20_abs_pct,a47_center_to_vwap_abs_pct,a47_center_to_nearest_tech_abs_pct,a47_center_to_mean_tech_abs_pct
PLTR,2025-06-25,BULL,AE2_RECLAIM,2,2025-06-25 13:31:00+00:00,144.74,143.23,143.66,144.88246228205983,144.72205514987792,145.27936092153377,143.87666666666667,0.699067916080788,0.5875785857409718,0.974928240530385,0.5875785857409718,0.7538582474507148
PLTR,2025-06-26,BULL,AE2_RECLAIM,2,2025-06-26 13:31:00+00:00,145.06,143.15,147.67,145.08820989857583,144.78018072222704,145.6558233113249,145.29333333333332,0.14117883460413153,0.3531838655865915,0.24948837615277525,0.14117883460413153,0.24795035878116609
PLTR,2025-06-27,BEAR,AE2_RECLAIM,2,2025-06-27 13:31:00+00:00,144.6,144.06,142.91,144.51946026299424,145.00675276277758,143.6943563969559,143.85666666666665,0.46073192969454935,0.7994666655079771,0.11282777049662282,0.11282777049662282,0.4576754552330497
PLTR,2025-07-07,BEAR,AE2_RECLAIM,2,2025-07-07 13:31:00+00:00,132.21,134.21,132.51,134.0839102563635,133.99583744259,134.27025106967878,132.97666666666666,0.8326600579275938,0.7664282775850361,0.9727905168917746,0.7664282775850361,0.8572929508014681
PLTR,2025-07-09,BEAR,AE2_RECLAIM,2,2025-07-09 13:31:00+00:00,138.85,139.25,135.79,139.25640110639122,139.56470382625255,138.62825446647835,137.96333333333334,0.9372546616670262,1.1607218050104249,0.4819549637427925,0.4819549637427925,0.8599771434734146
PLTR,2025-07-10,BULL,AE2_RECLAIM,2,2025-07-10 13:31:00+00:00,143.75,143.13,143.17,143.33951080080402,143.2126538960148,143.4496222660442,143.35,0.007317195114037839,0.09581172234752734,0.06949582563251289,0.007317195114037839,0.05754158103135935
PLTR,2025-07-11,BULL,AE2_RECLAIM,2,2025-07-11 13:31:00+00:00,142.5,142.5,145.16,142.20614970519867,141.72212979323714,142.91466844454936,143.38666666666666,0.823310136787233,1.1608728427302715,0.32917860013759487,0.32917860013759487,0.7711205265516998
PLTR,2025-07-14,BULL,AE2_RECLAIM,2,2025-07-14 13:31:00+00:00,143.07,142.11,144.58,142.84733458406777,142.51936722303404,143.50247017653518,143.25333333333333,0.2834131254180685,0.5123553450525586,0.17391347021722817,0.17391347021722817,0.3232273135626184
PLTR,2025-07-22,BULL,AE2_RECLAIM,2,2025-07-22 13:31:00+00:00,151.92,152.9797,155.44,150.8766414296599,150.66762874378722,151.2940431822508,153.44656666666666,1.6748013936274078,1.8110134252245262,1.4027837384539283,1.4027837384539283,1.6295328524352877
PLTR,2025-07-24,BEAR,AE2_RECLAIM,2,2025-07-24 13:31:00+00:00,153.26,153.4,148.2871,153.73471593856502,153.7418902156822,153.84280201732835,151.64903333333334,1.375335245723084,1.3800660883532534,1.4466090787225707,1.375335245723084,1.4006701375996358
PLTR,2025-07-25,BULL,AE2_RECLAIM,2,2025-07-25 13:31:00+00:00,155.94,155.0,155.63,156.3569472848558,155.79652907610517,157.3414264467878,155.52333333333334,0.5360057128763953,0.17566222181355387,1.1690162977395457,0.17566222181355387,0.6268947441431649
